EUI_kWh_per_sqmt,SQMT,NFLOOR,FLCEILHT,YRCONC,MONUSE,OCCUPYP,WKHRS,NWKER,HEATP,COOLP,DAYLTP,HDD65,CDD65,PUBCLIM
446.5572214230614,19509.63,994,12,2,12,100.0,70,350,100.0,100.0,0.0,4463,1759,3
194.98247461830388,2601.284,5,8,6,12,100.0,45,12,80.0,100.0,15.0,2424,189,4
226.3063495632586,2833.5415,3,10,7,12,43.0,50,25,100.0,100.0,0.0,4615,1184,3
281.83959184111626,17094.152,3,12,2,12,92.0,38,400,100.0,100.0,15.0,3943,1680,4
359.90001875271344,139354.5,995,12,2,12,100.0,168,2500,98.0,98.0,0.0,5545,1262,7
225.76068261650147,22296.72,4,10,8,12,85.0,80,400,100.0,100.0,30.0,5213,1708,3
164.46549119424614,19509.63,994,12,2,12,91.0,168,500,98.0,100.0,0.0,777,1583,4
242.8045943373979,2043.866,3,12,6,12,75.0,168,25,100.0,100.0,5.0,6536,769,1
131.49303689144688,21367.69,995,11,8,12,92.0,50,247,100.0,100.0,10.0,4368,1744,3
183.7750522055794,16908.346,994,9,6,12,90.0,56,250,90.0,90.0,20.0,4590,1510,3
127.80593256302144,39019.26,994,9,6,12,96.0,56,1053,98.0,95.0,25.0,6302,1375,2
101.09737287609327,301.93475,1,10,9,12,100.0,40,6,100.0,100.0,20.0,2496,2534,4
150.20835750021104,17651.57,5,18,8,12,80.0,60,612,100.0,100.0,25.0,2327,226,4
222.56665449530993,33445.08,994,12,2,12,80.0,40,1500,100.0,85.0,25.0,7124,668,2
229.1264020680379,24154.78,7,10,5,12,100.0,168,53,100.0,100.0,0.0,5684,811,2
205.74974270677484,7432.24,1,15,7,12,100.0,168,12,55.0,55.0,10.0,1889,3143,5
335.7298519117061,11519.972,994,15,2,12,100.0,120,500,100.0,100.0,50.0,4613,2363,3
86.0892465389588,167225.4,995,9,8,12,99.0,68,4500,100.0,95.0,75.0,6443,1276,7
166.61547181073436,1138.06175,1,10,7,12,100.0,40,30,100.0,100.0,10.0,4085,1777,4
184.7674031065708,18580.692903,8,10,8,12,72.0,65,435,100.0,100.0,15.0,1816,3383,5
181.4560375741365,817.5464,3,10,2,12,100.0,36,2,67.0,67.0,0.0,5719,1320,2
