method,parameter,posterior_std,bulk_ESS,MCSE_approx,CI_width_94,mcse_mean,r_hat
AEH,energy_coeffs[0],0.6222,629.0928,0.024806908766491685,2.319899999999997,0.0248,1.0038
AEH,energy_coeffs[1],17.5031,44.4441,2.62547517373601,64.06819999999999,5.1041,1.0523
AEH,energy_coeffs[2],0.7346,311.502,0.04162176610075143,2.8287000000000004,0.0455,1.005
AEH,energy_coeffs[3],0.0093,620.4806,0.00037335231184116273,0.03520000000000001,0.0004,1.0026
AEH,energy_coeffs[4],0.0076,745.2084,0.00027840351966956913,0.028100000000000014,0.0003,1.0026
AEH,energy_coeffs[5],1.3607,623.4487,0.05449567332917232,5.172499999999999,0.0545,1.0047
AEH,energy_coeffs[6],1.2202,330.903,0.06707808698804879,4.6442,0.0752,1.008
AEH,energy_coeffs[7],46.8169,90.0514,4.933525971615536,72.274,8.5936,1.0409
AEH,building_coeffs[0],1.6177,1082.8494,0.04916023557813246,6.019499999999999,0.0493,1.0032
AEH,building_coeffs[1],1.2545,618.7942,0.050430996349317456,4.7632,0.0503,1.0017
AEH,building_coeffs[2],2.4933,336.5053,0.13591850301218147,9.6804,0.1531,1.012
AEH,interaction_coeffs[0],0.3654,303.3732,0.0209787659001056,1.4679,0.0228,1.0056
Horseshoe,coeffs[0],0.6165,609.4371,0.024972880360396143,2.2506000000000057,0.0251,1.0012
Horseshoe,coeffs[1],3.4619,203.3995,0.24273901105563597,9.4993,0.3938,1.0115
Horseshoe,coeffs[2],0.0091,622.0326,0.0003648671960858774,0.033299999999999996,0.0004,0.9987
Horseshoe,coeffs[3],0.0077,672.3552,0.00029695547795440035,0.028299999999999992,0.0003,1.002
Horseshoe,coeffs[4],1.5107,425.2208,0.07326068567909898,5.5119,0.073,1.0036
Horseshoe,coeffs[5],1.7267,1052.9399,0.05321267573581753,6.272000000000002,0.0531,1.0052
Horseshoe,coeffs[6],2.3988,229.2753,0.15842196834903874,9.39,0.2115,1.007
Horseshoe,coeffs[7],1.7369,205.5452,0.12114936593321779,4.7493,0.1979,1.0141
Horseshoe,coeffs[8],117.5389,70.7704,13.971910559754724,253.2917,23.4566,1.0192
Horseshoe,coeffs[9],1.1762,227.119,0.07804668142094721,4.5913,0.1041,1.0049
Horseshoe,coeffs[10],1.4139,442.4406,0.06721887012372288,4.9921,0.0677,1.0028
Horseshoe,coeffs[11],25.4179,198.6165,1.8035658542109336,58.3621,3.3624,1.0156
