method,s_0,replication,MSE_signal,FPR,bulk_ESS,converged_alpha
AEH,2,0,0.0027539328939940044,0.16666666666666666,4870.750169949902,0.218994090153732
Horseshoe,2,0,0.0018435739794028742,0.16666666666666666,2079.5472428637177,
Regularized Horseshoe,2,0,0.0022140925670026735,0.16666666666666666,1284.009261625925,
Bayesian Elastic Net,2,0,0.0010204144415781602,0.16666666666666666,2395.5709776253198,
ARD,2,0,0.0012918351689208594,0.16666666666666666,377.07178292999095,
AEH,2,1,0.010074718398230308,0.1111111111111111,4608.748789381099,0.21908782668151955
Horseshoe,2,1,0.0011665212370923568,0.1111111111111111,3067.4333668956106,
Regularized Horseshoe,2,1,0.0009720079664532411,0.05555555555555555,2360.618707640212,
Bayesian Elastic Net,2,1,0.0062495870115488105,0.1111111111111111,2625.0321144521827,
ARD,2,1,0.0015127480128184405,0.1111111111111111,334.79318480238663,
AEH,2,2,0.0122457579399556,0.16666666666666666,4411.913125314821,0.22019137971426894
Horseshoe,2,2,0.0070158533853432615,0.05555555555555555,771.0466101981688,
Regularized Horseshoe,2,2,0.006436006974293815,0.05555555555555555,1854.7075058451937,
Bayesian Elastic Net,2,2,0.010701824407353592,0.1111111111111111,708.9589695143549,
ARD,2,2,0.00659195575257982,0.1111111111111111,229.15343593339767,
AEH,2,3,0.0060557484356377304,0.05555555555555555,2664.5220086849004,0.22147596677311188
Horseshoe,2,3,0.0007423398405921446,0.05555555555555555,454.95458750278766,
Regularized Horseshoe,2,3,0.0005919201181668776,0.05555555555555555,1978.3134923704486,
Bayesian Elastic Net,2,3,0.002935255288439474,0.05555555555555555,4970.534548994719,
ARD,2,3,0.0003166023081165376,0.05555555555555555,208.92489713721426,
AEH,2,4,0.019490457282817168,0.0,4776.920377715029,0.22629729582520536
Horseshoe,2,4,0.007592697274268343,0.0,1259.0229040650072,
Regularized Horseshoe,2,4,0.007586029534213619,0.0,4895.935449877168,
Bayesian Elastic Net,2,4,0.015583321475053707,0.0,3368.2910389028666,
ARD,2,4,0.009399403592177008,0.0,179.37838159063392,
AEH,2,5,0.0046456827763375315,0.05555555555555555,1871.7808115734856,0.2229527982602188
Horseshoe,2,5,0.00029304769949612774,0.05555555555555555,4840.2150319049915,
Regularized Horseshoe,2,5,0.00031262099170384773,0.05555555555555555,1391.2503354513356,
Bayesian Elastic Net,2,5,0.0020180174157736312,0.05555555555555555,4827.393648213377,
ARD,2,5,2.6199215770689426e-05,0.05555555555555555,419.0128065926907,
AEH,2,6,0.010736445537518721,0.16666666666666666,5571.001873264557,0.21814261711584143
Horseshoe,2,6,0.008208101416845193,0.16666666666666666,2064.960422535623,
Regularized Horseshoe,2,6,0.008355865486229734,0.16666666666666666,1456.0542942990492,
Bayesian Elastic Net,2,6,0.008897287373665042,0.16666666666666666,2845.1793875438793,
ARD,2,6,0.008127073585256524,0.16666666666666666,309.86237094391834,
AEH,2,7,0.008745149195427071,0.1111111111111111,1552.7544883887285,0.22000933762539937
Horseshoe,2,7,0.0058735738557010465,0.1111111111111111,3964.1883558661443,
Regularized Horseshoe,2,7,0.00569277411761492,0.1111111111111111,1789.2899549853742,
Bayesian Elastic Net,2,7,0.006122231098931006,0.1111111111111111,3592.661694534602,
ARD,2,7,0.005148372610221689,0.1111111111111111,265.3727201516732,
AEH,2,8,0.011975231719457299,0.16666666666666666,1855.0031183299845,0.21868947819001328
Horseshoe,2,8,0.004851824687208213,0.16666666666666666,3131.304864176528,
Regularized Horseshoe,2,8,0.004417623255216373,0.16666666666666666,3555.8127426545893,
Bayesian Elastic Net,2,8,0.00929334084125647,0.16666666666666666,3478.2985554748984,
ARD,2,8,0.004873830941564345,0.16666666666666666,396.1670617121014,
AEH,2,9,0.013628776644286637,0.1111111111111111,4247.825784444523,0.21775328204433525
Horseshoe,2,9,0.0067944531248632645,0.2222222222222222,3359.7347953846206,
Regularized Horseshoe,2,9,0.006933691797199656,0.16666666666666666,2854.4158107674693,
Bayesian Elastic Net,2,9,0.010162680680880661,0.16666666666666666,3396.256654432191,
ARD,2,9,0.007086638901185472,0.2222222222222222,319.24672859364773,
AEH,2,10,0.005457242927621562,0.0,1990.927765621792,0.22445095113286895
Horseshoe,2,10,0.00880843771753627,0.0,5998.0312110548075,
Regularized Horseshoe,2,10,0.009112081728082439,0.0,1535.7729756023277,
Bayesian Elastic Net,2,10,0.004555813060533588,0.0,6087.4016063118215,
ARD,2,10,0.007366712011159521,0.0,313.3002876939397,
AEH,2,11,0.0017993393246669108,0.0,3863.4200527525873,0.22106373700808302
Horseshoe,2,11,0.00454502741345662,0.05555555555555555,377.1034629625689,
Regularized Horseshoe,2,11,0.004034580222555536,0.05555555555555555,2272.3084373201464,
Bayesian Elastic Net,2,11,0.001455572676334698,0.0,354.44521379265296,
ARD,2,11,0.0035680509450296866,0.05555555555555555,214.60872180061247,
AEH,2,12,0.010662618339672296,0.2222222222222222,4618.616493061279,0.21802116459134618
Horseshoe,2,12,0.00011963502127443073,0.16666666666666666,518.1801898598353,
Regularized Horseshoe,2,12,0.0005743899340924784,0.2222222222222222,1126.6422650887203,
Bayesian Elastic Net,2,12,0.005033021244604508,0.2222222222222222,504.2863340326764,
ARD,2,12,0.0011046712659818088,0.2777777777777778,324.5511608684656,
AEH,2,13,0.00983508267644612,0.05555555555555555,5418.757010481989,0.22162031696692996
Horseshoe,2,13,0.0002254768143081687,0.1111111111111111,432.5433138879906,
Regularized Horseshoe,2,13,6.900082535581795e-05,0.16666666666666666,1497.9755881043097,
Bayesian Elastic Net,2,13,0.005544358693379952,0.05555555555555555,595.1852152058109,
ARD,2,13,0.00043790970908722253,0.16666666666666666,224.9665898153698,
AEH,2,14,0.0008814313882967308,0.1111111111111111,4590.951876707348,0.2189436062939672
Horseshoe,2,14,0.013477154988400505,0.05555555555555555,652.0346502168334,
Regularized Horseshoe,2,14,0.012186162075375437,0.05555555555555555,1158.5675223236744,
Bayesian Elastic Net,2,14,0.0032947795802194184,0.1111111111111111,731.4557542085171,
