method,s_0,MSE_signal_mean,MSE_signal_std,FPR_mean,FPR_std,bulk_ESS_mean,bulk_ESS_std,converged_alpha_mean,converged_alpha_std
AEH,2,0.010164529427903992,0.007364739141667438,0.10666666666666666,0.07681621354008165,3111.579519460921,1501.372730551066,0.22098968487463946,0.003020850707612886
AEH,5,0.011014435086366825,0.0036458422602901157,0.10933333333333334,0.07708992893275453,3153.5718103683466,1638.9203655754222,0.15784605786456424,0.0009145459313883946
AEH,10,0.011207025457081582,0.00334250916482885,0.11800000000000001,0.09409070742900065,2947.2444865118287,1632.7566005117326,0.13084620555192633,0.000399727447422616
ARD,2,0.003968605571696861,0.0033906187138349137,0.10777777777777776,0.07728219175860215,297.7459289060678,75.34729234271263,,
ARD,5,0.0037179446435887283,0.0020049003727682355,0.11199999999999999,0.07671249739277057,336.8440522809291,71.53879311087323,,
ARD,10,0.0038745181112768423,0.0017884936796505563,0.11200000000000002,0.10028530728448141,412.44911831530726,86.6717928530804,,
Bayesian Elastic Net,2,0.00692356128441716,0.00556962321356053,0.10333333333333332,0.07613258382571712,3248.67617668546,1574.9137673261919,,
Bayesian Elastic Net,5,0.007078098587687714,0.0028266066462050454,0.10533333333333333,0.07509932953796694,3630.256821609326,1630.8781421474753,,
Bayesian Elastic Net,10,0.00725795551556194,0.002569949053630208,0.11200000000000002,0.09612916480720413,3310.145171533322,1681.4565530079742,,
Horseshoe,2,0.004006711895934655,0.0035177544417759124,0.1,0.07529232524210427,3132.31953760201,1675.962441734364,,
Horseshoe,5,0.003693956450432076,0.002055138907441778,0.10133333333333333,0.07995463566405851,3005.3569158178434,1700.6835214526761,,
Horseshoe,10,0.0038189140318381108,0.0017619240460587074,0.10400000000000001,0.09889181885643875,3020.1314305261794,1705.4938677183784,,
Regularized Horseshoe,2,0.00402099699536805,0.003538126741532361,0.10111111111111111,0.07831849620665966,2124.4153273153656,1050.0467380053253,,
Regularized Horseshoe,5,0.003632016768054522,0.002043900897126543,0.1,0.07529232524210427,6662.956774598337,1196.8937282577037,,
Regularized Horseshoe,10,0.0037860859276259346,0.001750084008092474,0.09,0.08864052604279184,1563.186886055211,959.6608826427341,,
