method,rho,replication,MSE_signal,FPR,converged_alpha,bulk_ESS
AEH,0.5,0,0.0036316517026946118,0.13333333333333333,0.4694652981743983,781.0152676091703
Horseshoe,0.5,0,0.0038675836325337424,0.13333333333333333,,943.4036974636377
Bayesian Elastic Net,0.5,0,0.003997809033220094,0.13333333333333333,,970.805671325255
Bayesian Elastic Net (alpha=0.1),0.5,0,0.003970356045577175,0.13333333333333333,,977.6274688884714
Bayesian Elastic Net (alpha=0.9),0.5,0,0.004013214425022121,0.13333333333333333,,970.058378038561
AEH,0.5,1,0.005813782929756532,0.2,0.463998510661359,363.69782839033456
Horseshoe,0.5,1,0.006195701273375857,0.2,,1208.977857750108
Bayesian Elastic Net,0.5,1,0.006466878320659565,0.2,,1213.686988198757
Bayesian Elastic Net (alpha=0.1),0.5,1,0.006442240690854473,0.2,,1219.6164802382566
Bayesian Elastic Net (alpha=0.9),0.5,1,0.006501160947923352,0.2,,1213.5215266117057
AEH,0.5,2,0.005356166156970507,0.13333333333333333,0.45919359012960936,235.23103433668865
Horseshoe,0.5,2,0.00458751751972451,0.13333333333333333,,561.3989302071944
Bayesian Elastic Net,0.5,2,0.004717415281850906,0.13333333333333333,,560.9257215878554
Bayesian Elastic Net (alpha=0.1),0.5,2,0.004701414122770994,0.13333333333333333,,561.085323084134
Bayesian Elastic Net (alpha=0.9),0.5,2,0.005056720449055418,0.13333333333333333,,560.6124367416497
AEH,0.5,3,0.003068850996644222,0.2,0.46797490379551476,609.6576336568788
Horseshoe,0.5,3,0.0024203098737063007,0.2,,1107.4836175749085
Bayesian Elastic Net,0.5,3,0.002496204934932976,0.2,,1140.204502976308
Bayesian Elastic Net (alpha=0.1),0.5,3,0.0025045051706133574,0.2,,1155.1338756885514
Bayesian Elastic Net (alpha=0.9),0.5,3,0.0025060667373167137,0.2,,1143.7772983805617
AEH,0.5,4,0.003162519207627428,0.06666666666666667,0.46433043162232324,1107.4571584878072
Horseshoe,0.5,4,0.002914614436190105,0.06666666666666667,,1862.236430495105
Bayesian Elastic Net,0.5,4,0.002790877261689295,0.06666666666666667,,1838.8891545905528
Bayesian Elastic Net (alpha=0.1),0.5,4,0.0027757558943203755,0.06666666666666667,,1809.3662996848402
Bayesian Elastic Net (alpha=0.9),0.5,4,0.002806229376794639,0.06666666666666667,,1837.877742908849
AEH,0.5,5,0.0015163286883006074,0.2,0.47350992947521464,575.526117632452
Horseshoe,0.5,5,0.0018493677593497573,0.2,,367.9845477515513
Bayesian Elastic Net,0.5,5,0.0017094304705910547,0.2,,357.0012360546468
Bayesian Elastic Net (alpha=0.1),0.5,5,0.0017063404661637562,0.2,,359.6590215715922
Bayesian Elastic Net (alpha=0.9),0.5,5,0.0016969742801453062,0.2,,355.18663087179596
AEH,0.5,6,0.0060305943108329065,0.3333333333333333,0.4737672716749828,522.4900028804038
Horseshoe,0.5,6,0.006548547996307589,0.3333333333333333,,1249.2827939277224
Bayesian Elastic Net,0.5,6,0.006289377283150058,0.3333333333333333,,1132.3980585217
Bayesian Elastic Net (alpha=0.1),0.5,6,0.006254113534352598,0.3333333333333333,,1129.9165423819877
Bayesian Elastic Net (alpha=0.9),0.5,6,0.006325819438991844,0.3333333333333333,,1138.953413179275
AEH,0.5,7,0.0030026837879211523,0.26666666666666666,0.4773503508851016,436.6008169107149
Horseshoe,0.5,7,0.0031149277147294236,0.26666666666666666,,1538.3130888434703
Bayesian Elastic Net,0.5,7,0.003028323023800824,0.26666666666666666,,1560.6334136694918
Bayesian Elastic Net (alpha=0.1),0.5,7,0.003012885367000566,0.26666666666666666,,1558.4830437025616
Bayesian Elastic Net (alpha=0.9),0.5,7,0.00304496326766754,0.26666666666666666,,1559.6381526344926
AEH,0.5,8,0.02109178235120765,0.2,0.45912497841059197,721.0883541268358
Horseshoe,0.5,8,0.02030711166024288,0.26666666666666666,,934.3177806275537
Bayesian Elastic Net,0.5,8,0.01976034965090278,0.26666666666666666,,894.7156799216918
Bayesian Elastic Net (alpha=0.1),0.5,8,0.019645892090221485,0.26666666666666666,,885.3395220222776
Bayesian Elastic Net (alpha=0.9),0.5,8,0.01987219471469332,0.26666666666666666,,888.2682822988123
AEH,0.5,9,0.006783942577994378,0.4,0.47577145863657,536.620530630358
Horseshoe,0.5,9,0.0073785790683425735,0.4,,1434.868258213864
Bayesian Elastic Net,0.5,9,0.007330696854988943,0.4,,1414.508764390794
Bayesian Elastic Net (alpha=0.1),0.5,9,0.007292879598616693,0.4,,1415.7683291020433
Bayesian Elastic Net (alpha=0.9),0.5,9,0.007371201720909641,0.4,,1413.8468955073427
AEH,0.5,10,0.004930566138026174,0.06666666666666667,0.48213548829954744,284.15850724579985
Horseshoe,0.5,10,0.005714690701346407,0.06666666666666667,,704.3577994795157
Bayesian Elastic Net,0.5,10,0.005639129478837506,0.06666666666666667,,709.1189394995172
Bayesian Elastic Net (alpha=0.1),0.5,10,0.0056332647009977406,0.06666666666666667,,707.2731281644121
Bayesian Elastic Net (alpha=0.9),0.5,10,0.0056525223381228736,0.06666666666666667,,720.799317280428
AEH,0.5,11,0.0038171518722498674,0.06666666666666667,0.46442609327953277,835.4556319382043
Horseshoe,0.5,11,0.004124703925368133,0.06666666666666667,,2090.713508768359
Bayesian Elastic Net,0.5,11,0.004080321236862076,0.06666666666666667,,2127.664496298875
Bayesian Elastic Net (alpha=0.1),0.5,11,0.004065937543145038,0.06666666666666667,,2134.012899226221
Bayesian Elastic Net (alpha=0.9),0.5,11,0.004095632554569978,0.06666666666666667,,2125.1752819361645
AEH,0.5,12,0.005975380726415226,0.26666666666666666,0.46436836226046974,411.2265472468615
Horseshoe,0.5,12,0.006399623779236759,0.26666666666666666,,1630.7468172155955
Bayesian Elastic Net,0.5,12,0.00638667269568477,0.26666666666666666,,1501.6097363658696
Bayesian Elastic Net (alpha=0.1),0.5,12,0.006355469597928239,0.26666666666666666,,1517.8805351287153
Bayesian Elastic Net (alpha=0.9),0.5,12,0.006413410662326556,0.26666666666666666,,1500.3490206713843
AEH,0.5,13,0.0035534564251396865,0.2,0.4696142439167015,579.7130573110541
Horseshoe,0.5,13,0.0036488554672228293,0.2,,915.3338750446012
Bayesian Elastic Net,0.5,13,0.003567522487953015,0.2,,874.764569197557
Bayesian Elastic Net (alpha=0.1),0.5,13,0.003560033681939851,0.2,,874.5780616006825
Bayesian Elastic Net (alpha=0.9),0.5,13,0.003581597700844677,0.2,,888.4864611861124
AEH,0.5,14,0.010766858863492334,0.06666666666666667,0.4668969621033501,1295.5297773778277
Horseshoe,0.5,14,0.011041726038293226,0.13333333333333333,,2403.012463364636
Bayesian Elastic Net,0.5,14,0.010759624625853458,0.13333333333333333,,2435.2747948369893
Bayesian Elastic Net (alpha=0.1),0.5,14,0.010723791940350117,0.13333333333333333,,2436.456431477204
Bayesian Elastic Net (alpha=0.9),0.5,14,0.010803263748336546,0.13333333333333333,,2404.19619749542
AEH,0.5,15,0.007294502474147671,0.13333333333333333,0.47929831590281224,356.31986165989343
Horseshoe,0.5,15,0.008256899015189416,0.2,,780.9104490893303
Bayesian Elastic Net,0.5,15,0.00805086521024843,0.2,,593.5132533438428
Bayesian Elastic Net (alpha=0.1),0.5,15,0.008015702279917429,0.2,,594.4188281548195
Bayesian Elastic Net (alpha=0.9),0.5,15,0.008086340607280477,0.2,,592.6698574710151
AEH,0.5,16,0.00624783599591804,0.13333333333333333,0.4838431541312258,765.6538440219117
Horseshoe,0.5,16,0.007296843569983215,0.2,,1595.5796931470318
Bayesian Elastic Net,0.5,16,0.007044198442382847,0.2,,1548.8610296743993
Bayesian Elastic Net (alpha=0.1),0.5,16,0.0069980347087760745,0.2,,1636.2712506188016
Bayesian Elastic Net (alpha=0.9),0.5,16,0.007083501538218679,0.2,,1605.5946951967812
AEH,0.5,17,0.008294588084590805,0.26666666666666666,0.4605795466412197,398.1961992825885
Horseshoe,0.5,17,0.008126380540554496,0.26666666666666666,,670.1948595775833
Bayesian Elastic Net,0.5,17,0.00793115215473288,0.26666666666666666,,650.1138456521105
Bayesian Elastic Net (alpha=0.1),0.5,17,0.0080100922035723,0.26666666666666666,,650.4279472108348
Bayesian Elastic Net (alpha=0.9),0.5,17,0.007974932723911528,0.26666666666666666,,650.6599649412581
AEH,0.5,18,0.004392153531833391,0.2,0.46760593842064746,1095.7622617423467
Horseshoe,0.5,18,0.004570721380211722,0.26666666666666666,,2069.8910380735188
Bayesian Elastic Net,0.5,18,0.004353476127529931,0.26666666666666666,,1889.060325062601
Bayesian Elastic Net (alpha=0.1),0.5,18,0.004316144757381112,0.26666666666666666,,1889.397094487471
Bayesian Elastic Net (alpha=0.9),0.5,18,0.0043913498001166935,0.26666666666666666,,1892.9832817606434
AEH,0.5,19,0.004782862473988294,0.06666666666666667,0.4703463801250416,654.4226279482166
Horseshoe,0.5,19,0.005427542785798068,0.06666666666666667,,1230.0702260820171
Bayesian Elastic Net,0.5,19,0.005318648192812627,0.06666666666666667,,1257.0322109649965
Bayesian Elastic Net (alpha=0.1),0.5,19,0.005274942080122332,0.06666666666666667,,1250.7478556869826
Bayesian Elastic Net (alpha=0.9),0.5,19,0.005340938401977318,0.06666666666666667,,1242.2416155533817
AEH,0.5,20,0.005629375160108987,0.2,0.4354897578751047,1140.0662008242584
Horseshoe,0.5,20,0.005702486476279722,0.2,,2776.775002917233
Bayesian Elastic Net,0.5,20,0.005647937177219994,0.2,,2926.7875567615033
Bayesian Elastic Net (alpha=0.1),0.5,20,0.005623879640436606,0.2,,2926.9352452953012
Bayesian Elastic Net (alpha=0.9),0.5,20,0.005674344187024523,0.2,,2925.4989391471827
AEH,0.5,21,0.0013562528266706732,0.2,0.4657945073380346,905.1231204695199
Horseshoe,0.5,21,0.001521689294748398,0.2,,1519.4475038419816
Bayesian Elastic Net,0.5,21,0.0023647182061770017,0.2,,1191.180045082746
Bayesian Elastic Net (alpha=0.1),0.5,21,0.0023699555612802805,0.2,,1192.081677153405
Bayesian Elastic Net (alpha=0.9),0.5,21,0.002371423001150185,0.2,,1190.5581895569862
AEH,0.5,22,0.004885411186631535,0.2,0.45832446197092847,1246.0133163442063
Horseshoe,0.5,22,0.004487856086731384,0.2,,2215.1193054243518
Bayesian Elastic Net,0.5,22,0.00440891483623549,0.2,,2246.2205668466063
Bayesian Elastic Net (alpha=0.1),0.5,22,0.004397562496265854,0.2,,2247.0090748746607
Bayesian Elastic Net (alpha=0.9),0.5,22,0.004422424229859522,0.2,,2245.8408758666455
AEH,0.5,23,0.011071330342378954,0.13333333333333333,0.4756113526513115,653.5271612750527
Horseshoe,0.5,23,0.011022793182186384,0.13333333333333333,,1140.148625112381
Bayesian Elastic Net,0.5,23,0.011349983073134418,0.13333333333333333,,1204.8287715213041
Bayesian Elastic Net (alpha=0.1),0.5,23,0.011283590355716208,0.13333333333333333,,1205.5281220075028
Bayesian Elastic Net (alpha=0.9),0.5,23,0.01141703048713556,0.13333333333333333,,1204.1007019965568
AEH,0.5,24,0.006017656166155814,0.06666666666666667,0.45997342601173863,588.9166035565985
Horseshoe,0.5,24,0.006383019370815121,0.06666666666666667,,1201.7218541602047
Bayesian Elastic Net,0.5,24,0.006182647187333204,0.06666666666666667,,1195.39447182767
Bayesian Elastic Net (alpha=0.1),0.5,24,0.006147123031982073,0.06666666666666667,,1193.3940556167665
Bayesian Elastic Net (alpha=0.9),0.5,24,0.0062194839780493555,0.06666666666666667,,1192.1163556958516
AEH,0.5,25,0.008466540627776114,0.3333333333333333,0.45608137099460966,815.9590355143227
Horseshoe,0.5,25,0.008000766590313716,0.3333333333333333,,1877.8385051984865
Bayesian Elastic Net,0.5,25,0.007577892372209497,0.3333333333333333,,1804.1775235524324
Bayesian Elastic Net (alpha=0.1),0.5,25,0.007533670003686143,0.3333333333333333,,1798.2589853466034
Bayesian Elastic Net (alpha=0.9),0.5,25,0.007623485120442738,0.3333333333333333,,1814.4039310448156
AEH,0.5,26,0.0026367998918694078,0.06666666666666667,0.47605349896648863,536.1774685341836
Horseshoe,0.5,26,0.002347821666736849,0.06666666666666667,,831.5162102196102
Bayesian Elastic Net,0.5,26,0.0023014572872410146,0.06666666666666667,,879.5898582291766
Bayesian Elastic Net (alpha=0.1),0.5,26,0.0022906328721544376,0.06666666666666667,,880.1258922259915
Bayesian Elastic Net (alpha=0.9),0.5,26,0.0023061337748723825,0.06666666666666667,,879.710363973529
AEH,0.5,27,0.0013249173011103683,0.2,0.4589380321069567,506.5945614092672
Horseshoe,0.5,27,0.0011095378982439391,0.2,,1123.5228388107057
Bayesian Elastic Net,0.5,27,0.0011194669112678352,0.2,,1147.6699404029675
Bayesian Elastic Net (alpha=0.1),0.5,27,0.0011180202151257572,0.2,,1200.618206221426
Bayesian Elastic Net (alpha=0.9),0.5,27,0.0011259976433971434,0.2,,1107.4787048651208
AEH,0.5,28,0.0028883621229225795,0.3333333333333333,0.4579997256517069,1180.7366362376301
Horseshoe,0.5,28,0.002733034020018883,0.4,,2560.9178283930983
Bayesian Elastic Net,0.5,28,0.0026713413142266983,0.4,,2217.048901368514
Bayesian Elastic Net (alpha=0.1),0.5,28,0.0026521265154915655,0.4,,2219.2379801168977
Bayesian Elastic Net (alpha=0.9),0.5,28,0.0026858380812917883,0.4,,2178.1549434575636
AEH,0.5,29,0.005947004220968865,0.0,0.45702901486421954,615.4287077832704
Horseshoe,0.5,29,0.007244668932651488,0.0,,1339.0743374122162
Bayesian Elastic Net,0.5,29,0.006960975104372745,0.0,,1586.6227904226296
Bayesian Elastic Net (alpha=0.1),0.5,29,0.006921284960102461,0.0,,1586.8197240466973
Bayesian Elastic Net (alpha=0.9),0.5,29,0.007001045860494827,0.0,,1586.4162871193525
AEH,0.5,30,0.0030064834472935597,0.26666666666666666,0.4673187127441295,446.2574162715629
Horseshoe,0.5,30,0.003233501231552844,0.26666666666666666,,1271.996437125716
