method,rho,MSE_signal_mean,MSE_signal_std,FPR_mean,FPR_std,bulk_ESS_mean,bulk_ESS_std,converged_alpha_mean,converged_alpha_std
AEH,0.5,0.005297453180231191,0.00345466443950234,0.18133333333333332,0.1077832712441532,655.6180301207024,292.81674145616404,0.46621865353875264,0.010173663598266616
AEH,0.7,0.008641898345933574,0.006186636609325989,0.18666666666666668,0.11187942975686412,1179.0101414352641,609.527195062548,0.38977106641342585,0.010662120836558733
AEH,0.9,0.019753224517263045,0.01607420476019928,0.19333333333333333,0.10626625525914953,1798.0986132262894,1551.928200353427,0.2941526280135472,0.006494923221669506
Bayesian Elastic Net,0.5,0.0053109457462671315,0.003246378729701749,0.19066666666666665,0.10942852998465791,1411.0991227363336,730.8108388849322,,
Bayesian Elastic Net,0.7,0.008768639485255242,0.0062707795953470145,0.19333333333333333,0.1045452304766674,2674.2772522522473,1017.3208623721481,,
Bayesian Elastic Net,0.9,0.020521876567451844,0.01660246922063355,0.19333333333333333,0.10795984808337748,3386.489203101561,1472.040194270953,,
Bayesian Elastic Net (alpha=0.1),0.5,0.0052913395226233065,0.0032318079612424213,0.192,0.1099494833498043,1379.3445246084461,690.3046034336534,,
Bayesian Elastic Net (alpha=0.1),0.7,0.008680793198430412,0.0062077150647172705,0.19333333333333333,0.1045452304766674,2673.9334465539246,1018.3406346986066,,
Bayesian Elastic Net (alpha=0.1),0.9,0.01991035465932893,0.016097525292447686,0.196,0.11461064918684248,3450.5903302878432,1525.3013445109063,,
Bayesian Elastic Net (alpha=0.9),0.5,0.0053430500996073695,0.003262750500005183,0.19066666666666665,0.10942852998465791,1410.0041658277821,729.3774356464173,,
Bayesian Elastic Net (alpha=0.9),0.7,0.008856406906716604,0.006336142337883437,0.19333333333333333,0.1045452304766674,2669.0875785567173,1014.6820691485664,,
Bayesian Elastic Net (alpha=0.9),0.9,0.021194509295235132,0.017142491634485123,0.19333333333333333,0.10795984808337748,3377.901107046381,1475.7725050764946,,
Horseshoe,0.5,0.005446539138269068,0.003373598804396841,0.18933333333333333,0.10971825389649272,1392.6973777438793,677.8692151335165,,
Horseshoe,0.7,0.009291768922254922,0.0066736668948959195,0.192,0.10136483577638151,2578.5246889701702,930.5882741773222,,
Horseshoe,0.9,0.024840505622242805,0.020231028620946685,0.18933333333333333,0.10636010368239023,3343.062985056161,1405.309743968523,,
