method,n,replication,bulk_ESS_signal,bulk_ESS_null,bulk_ESS_all
AEH,100,0,7686.673580382313,914.4983560030088,2607.542162097835
Horseshoe,100,0,8000.0,763.8145990304042,2572.8609492728037
AEH,100,1,6052.660102615091,856.9783624496445,2155.8987974910056
Horseshoe,100,1,8000.0,1566.915953955038,3175.186965466279
AEH,100,2,4607.319872524443,1141.9340627149388,2008.2805151673147
Horseshoe,100,2,8000.0,634.4971039512736,2475.872827963455
AEH,100,3,81.01612838739264,69.21707840383041,72.16684089972098
Horseshoe,100,3,6341.729883505838,1278.6877932318478,2544.4483158003454
AEH,100,4,8000.0,600.980904904091,2450.7356786780683
Horseshoe,100,4,8000.0,1355.9435539591366,3016.957665469353
AEH,100,5,6029.001089655592,1993.8426309322579,3002.632245613092
Horseshoe,100,5,6786.223869743934,857.8675056380804,2339.9565966645446
AEH,100,6,6761.22496389683,714.9528226107333,2226.520857932257
Horseshoe,100,6,8000.0,773.6663369971067,2580.24975274783
AEH,100,7,4934.889490742986,907.8782081873527,1914.6310288262612
Horseshoe,100,7,6891.343810890047,1068.5296178140748,2524.2331660830678
AEH,100,8,4883.604841606998,537.2883450062315,1623.8674691564233
Horseshoe,100,8,8000.0,957.330083892952,2717.997562919714
AEH,100,9,2529.5239286087162,748.7595388900911,1193.9506363197474
Horseshoe,100,9,7372.52313965956,711.2789564626834,2376.5900022619026
AEH,100,10,6012.414251258639,1573.3871779901026,2683.1439463072365
Horseshoe,100,10,8000.0,1089.508268087901,2817.1312010659253
AEH,100,11,6300.451024278935,670.2852201690367,2077.826671196511
Horseshoe,100,11,8000.0,630.9926338632712,2473.2444753974537
AEH,100,12,3105.6398523306116,571.1245051589375,1204.7533419518563
Horseshoe,100,12,6382.715136849076,1107.2972516852772,2426.151722976226
AEH,100,13,4927.52444824618,918.2066987730825,1920.5361361413572
Horseshoe,100,13,7391.593242934073,1041.2839429727858,2628.861267963108
AEH,100,14,6042.611973444053,770.9295639829885,2088.8501663482543
Horseshoe,100,14,8000.0,1099.274278727309,2824.4557090454814
AEH,100,15,815.0548964023444,1352.0042753111786,1217.7669305839702
Horseshoe,100,15,2331.974622821467,2331.0707947046294,2331.296751733839
AEH,100,16,2399.0623826294623,926.3448908289535,1294.5242637790805
Horseshoe,100,16,7692.044639057798,1138.8942384347736,2777.1818385905303
AEH,100,17,8000.0,1505.375885872531,3129.031914404398
Horseshoe,100,17,7299.285059095911,442.3908444345667,2156.6143980999022
AEH,100,18,1416.1897093342698,571.9898114391701,783.039785912945
Horseshoe,100,18,4876.385726017826,923.9561202609839,1912.0635217001939
AEH,100,19,4739.718949161791,780.3410401417975,1770.185517396796
Horseshoe,100,19,8000.0,789.2643117371772,2591.9482338028824
AEH,200,0,5939.731517556613,2240.2190058687524,3165.0971337907176
Horseshoe,200,0,6903.348786786009,1686.2431138564696,2990.519532088855
AEH,200,1,7199.093476548997,948.8211311074833,2511.3892174678617
Horseshoe,200,1,8000.0,713.7307055328843,2535.298029149663
AEH,200,2,4958.432115929354,1678.4627580180809,2498.4550974958984
Horseshoe,200,2,8000.0,847.3704532146221,2635.527839910967
AEH,200,3,5400.75523763554,2858.576623585557,3494.121277098053
Horseshoe,200,3,8000.0,655.9630966307567,2491.9723224730674
AEH,200,4,4805.748470162676,3729.5765114253463,3998.619501109678
Horseshoe,200,4,8000.0,828.8792534595434,2621.659440094657
AEH,200,5,5624.425860477758,569.9337744702365,1833.5567959721168
Horseshoe,200,5,8000.0,613.6253374012159,2460.2190030509123
AEH,200,6,6987.990481547169,2151.35464567572,3360.5136046435823
Horseshoe,200,6,8000.0,695.656546464023,2521.742409848017
AEH,200,7,7218.917122699498,2114.7264680678804,3390.774131725785
Horseshoe,200,7,6607.454234381699,3649.2859504748426,4388.828021451556
AEH,200,8,4806.858195925752,4673.591529259085,4706.908195925752
Horseshoe,200,8,7775.627810631202,5386.5777248306795,5983.84024628081
AEH,200,9,3963.432634459839,1888.1771479104723,2406.991019547814
Horseshoe,200,9,7745.7466575272965,2579.7952094520447,3871.283071470857
AEH,200,10,8000.0,8000.0,8000.0
Horseshoe,200,10,848.776345500911,585.9735122287387,651.6742205467818
AEH,200,11,6589.512630937621,2415.6642529044325,3459.12634741273
Horseshoe,200,11,8000.0,528.269199146798,2396.2018993600987
AEH,200,12,4226.240811941663,2081.7344302799293,2617.861025695364
Horseshoe,200,12,5258.752684222501,2331.527392453191,3063.333715395519
AEH,200,13,3603.4335529680475,2377.828196810449,2684.229535849849
Horseshoe,200,13,7052.266292382778,2305.938466996659,3492.520423343189
AEH,200,14,7359.8537569151285,3197.0269966330698,4237.733686703583
Horseshoe,200,14,8000.0,571.7177168385056,2428.788287628879
AEH,200,15,5707.752672436331,1609.21277112629,2633.8477464538
Horseshoe,200,15,5940.865386921246,2617.7091621458417,3448.4982183396924
AEH,200,16,4289.348356364457,1631.0269621307439,2295.6073106891718
Horseshoe,200,16,8000.0,2059.3971008914814,3544.547825668612
AEH,200,17,7486.111967389426,5474.2279703032855,5977.19896957482
Horseshoe,200,17,6660.709396728547,2393.4532012908926,3460.267250150306
AEH,200,18,91.2910224247486,79.31034957797023,82.3055177896648
Horseshoe,200,18,5797.259640668448,2697.03510917168,3472.091242045872
