method,n,bulk_ESS_signal_mean,bulk_ESS_signal_std,bulk_ESS_null_mean,bulk_ESS_null_std,bulk_ESS_all_mean,bulk_ESS_all_std
AEH,100,4766.229074275332,2344.678856724062,906.3159689884978,432.2156753252212,1871.2942453102066,756.5300249051112
AEH,200,5492.041577224817,1816.876224817033,2611.058572836624,1789.200258104781,3331.304323933672,1614.7578018818772
AEH,500,5638.732259414726,1866.9163253670479,4887.500306265054,2269.3709086114263,5075.308294552472,1842.182719778041
AEH,1000,5120.889518634541,2858.742912994187,5342.659193671937,3070.966477054575,5287.216774912588,2955.101955126434
AEH,2000,6269.680448308358,2166.1363977994174,6219.673413150513,2398.606859443487,6232.1751719399745,2197.1276130766532
Horseshoe,100,7168.2909565287755,1404.2462713618586,1028.1232094920636,409.1088717774035,2563.165146251242,285.85356355766993
Horseshoe,200,6993.527834838731,1685.1407443516978,1776.4375427888838,1275.0904421954042,3080.7101158013456,1029.5585230708136
Horseshoe,500,7314.016359489654,705.6271094162582,3310.9570480379416,2556.781806653021,4311.72187590087,1870.4843249071548
Horseshoe,1000,6877.267844171352,1827.0006961905513,4753.155427455493,3190.4109648713456,5284.183531634457,2433.3596178918506
Horseshoe,2000,7560.747851643726,706.6753242844707,3062.30617284016,2703.579166169137,4186.916592541052,1921.598383442969
