method,n,p,replication,MSE_signal,FPR,bulk_ESS,converged_alpha,rhat_max,converged_ok
AEH,100,200,0,0.9493599099309933,0.968421052631579,22.223261054011036,0.7182466335539838,3.1950003311811366,False
Horseshoe,100,200,0,0.04549811172707371,0.3368421052631579,65.92072342220581,,1.0544427344551357,False
AEH,100,200,1,0.8590398274054676,0.968421052631579,21.529614413707794,0.7337352099283846,2.800832996964715,False
Horseshoe,100,200,1,0.053745179367111914,0.4052631578947368,60.073206449944735,,1.0852774937304666,False
AEH,100,200,2,2.0851233166986654,0.9947368421052631,22.11570694263385,0.7006335301357388,2.468827325718932,False
Horseshoe,100,200,2,0.04013019543065695,0.30526315789473685,68.01566139597413,,1.04752791590388,True
AEH,100,200,3,4.185298879178624,0.9789473684210527,21.434534524958572,0.7127952452676006,2.9514707911382883,False
Horseshoe,100,200,3,0.022230959152736835,0.34210526315789475,68.5913899856396,,1.058173678448077,False
AEH,100,200,4,1.1856276243093191,0.9789473684210527,22.48955426466487,0.7341298389351492,3.2631134889854114,False
Horseshoe,100,200,4,0.0424045240165266,0.35789473684210527,68.58679521065618,,1.0304280874182599,True
AEH,100,200,5,0.8671789534325735,0.9631578947368421,22.27356129521346,0.7354060020185841,2.673257242720311,False
Horseshoe,100,200,5,0.05080263000425479,0.34210526315789475,66.83089306470484,,1.0501559371637073,False
AEH,100,200,6,6.920142031901955,0.968421052631579,21.778116165322118,0.7191208265068348,2.8464663860089825,False
Horseshoe,100,200,6,0.05924490552531525,0.23157894736842105,67.92329617750062,,1.0403710936331043,True
AEH,100,200,7,4.109198779431123,0.9578947368421052,21.85465222041178,0.7098211443333913,2.5667365418349757,False
Horseshoe,100,200,7,0.029018409650099265,0.33157894736842103,64.01866164698691,,1.0472509985592813,True
AEH,100,200,8,0.9798629086871203,0.9842105263157894,21.389556457297182,0.7203003404903693,3.0209243759857225,False
Horseshoe,100,200,8,0.036495505305932,0.3894736842105263,65.47174710589475,,1.0484620873071202,True
AEH,100,200,9,1.3259469883863566,0.9526315789473684,22.09796368909689,0.7240123853698768,3.000380054478975,False
Horseshoe,100,200,9,0.09768760144632184,0.4105263157894737,64.12906264684929,,1.0512608760569069,False
AEH,100,200,10,2.698895467304689,0.9578947368421052,21.942521444272497,0.7384989028347804,2.9947820573561224,False
Horseshoe,100,200,10,0.05915963701882476,0.3263157894736842,59.807211787047706,,1.0657355407405449,False
AEH,100,200,11,3.3316560951201204,0.9578947368421052,21.508917424225643,0.7210067921453861,2.874687290162242,False
Horseshoe,100,200,11,0.07292103707895092,0.3894736842105263,66.13714581865847,,1.0494278434020037,True
AEH,100,200,12,8.129722836083808,0.9631578947368421,21.669902975694704,0.7303159875085229,2.757465279776032,False
Horseshoe,100,200,12,0.08551198603508121,0.35789473684210527,64.11665683255345,,1.041193651467538,True
AEH,100,200,13,1.6812041372663888,0.9473684210526315,21.963806599110068,0.7197136080778099,2.9028270251602706,False
Horseshoe,100,200,13,0.11935014794758037,0.35789473684210527,64.13328962569084,,1.0819398751448088,False
AEH,100,200,14,1.2950749803072776,0.9789473684210527,21.226889855398657,0.7414429836865032,2.7587563289026242,False
Horseshoe,100,200,14,0.06622910537846434,0.34210526315789475,63.615477679997454,,1.0458870476235071,True
AEH,100,200,15,1.0925970157665665,1.0,21.664478695999424,0.714662931655719,2.816507343053982,False
Horseshoe,100,200,15,0.03918132487407562,0.3526315789473684,70.10770657526973,,1.0447130805479952,True
AEH,100,200,16,0.8766890883079016,0.9789473684210527,22.029833817451525,0.6852231202947356,3.0096027752408285,False
Horseshoe,100,200,16,0.01446360981051673,0.3526315789473684,65.25422587875626,,1.0736721793673143,False
AEH,100,200,17,2.1133374684553994,0.9631578947368421,21.443692600075018,0.7187340866567238,2.757657566232421,False
Horseshoe,100,200,17,0.055699640988650136,0.3684210526315789,65.38197338700039,,1.054953043772222,False
AEH,100,200,18,2.908184335437064,0.9894736842105263,21.813361447294348,0.7417988760397377,2.702448894529793,False
Horseshoe,100,200,18,0.0639068504509723,0.37894736842105264,64.59301210754568,,1.0418539782383573,True
AEH,100,200,19,1.573363888205991,0.9631578947368421,21.93901513595301,0.7107901016924232,2.584285870732654,False
Horseshoe,100,200,19,0.039706159907429685,0.2894736842105263,68.9732110388108,,1.0667545441237936,False
AEH,100,200,20,0.9230930558250969,0.9736842105263158,22.10287940259498,0.7202981920023045,2.851770712580767,False
Horseshoe,100,200,20,0.02516419791018911,0.2789473684210526,79.07261321887299,,1.034220521929131,True
AEH,100,200,21,2.143398719816843,0.9578947368421052,21.635987683430482,0.7190792760757188,2.6340277064463193,False
Horseshoe,100,200,21,0.08890755524240093,0.33157894736842103,63.91979920762362,,1.0632629949512205,False
AEH,100,200,22,0.9827701879748553,0.9789473684210527,21.95782772225848,0.7058925826369407,2.694443146505503,False
Horseshoe,100,200,22,0.10343201918770117,0.32105263157894737,65.51491679131492,,1.0466006074392349,True
AEH,100,200,23,4.798092698958241,0.968421052631579,21.541339251684466,0.7157431381920396,2.7257618934578636,False
Horseshoe,100,200,23,0.03965843733273187,0.3473684210526316,68.13053140526324,,1.0534532940131878,False
AEH,100,200,24,2.052780385826101,0.9842105263157894,22.699718648691825,0.7052277235630408,3.0948717356156057,False
Horseshoe,100,200,24,0.02766927827894889,0.3684210526315789,58.545887560828504,,1.0728698329680821,False
