p,rho,replication,method,wall_clock_s,MSE_signal,FPR,bulk_ESS,converged_alpha,PICP_90,rhat_max,converged_ok
50,0.5,0,AEH,5.0803184999967925,,,,,,1.1285079334200876,False
50,0.5,0,Horseshoe,4.760144800005946,0.003436967576186423,0.025,266.9942725162376,,,1.043988764538428,True
50,0.5,0,Regularized Horseshoe,4.204519399994751,0.0034571045095210576,0.0,273.25276966831444,,,1.0015905192002177,True
50,0.5,1,AEH,4.928229800018016,,,,,,1.05835363168779,False
50,0.5,1,Horseshoe,4.912343000003602,,,,,,1.0741168342688292,False
50,0.5,1,Regularized Horseshoe,4.943543400004273,0.005178766146105086,0.2,274.60578584562995,,,1.0015479592530057,True
50,0.5,2,AEH,5.4683682000031695,0.005885047167556294,0.225,250.16712756582405,0.5193901160407781,,1.01185476447438,True
50,0.5,2,Horseshoe,4.019627600006061,0.006233365445154146,0.225,265.4806113853993,,,1.0485397686142028,True
50,0.5,2,Regularized Horseshoe,3.5007680999988224,0.005835816535340767,0.2,259.5541670868929,,,1.0021820280697076,True
50,0.5,3,AEH,3.9775613000092562,0.006815278369500676,0.05,223.76736301617385,0.5277926375448365,,1.0244089561480116,True
50,0.5,3,Horseshoe,4.218689500004984,,,,,,1.0893674203142167,False
50,0.5,3,Regularized Horseshoe,4.090993899997557,0.006892718217789232,0.025,252.40206013067126,,,1.0015012331297422,True
50,0.5,4,AEH,3.8902138999837916,,,,,,1.0522833839307664,False
50,0.5,4,Horseshoe,3.3443588000081945,0.006356733891268042,0.1,249.671458345135,,,1.015814643006266,True
50,0.5,4,Regularized Horseshoe,3.4794245999946725,0.005890723254579989,0.1,276.3260074318648,,,1.0034799498810054,True
50,0.5,5,AEH,4.914023500023177,,,,,,1.1373006452649188,False
50,0.5,5,Horseshoe,4.852078299998539,0.004432540539205694,0.2,233.77668274699184,,,1.044230185001762,True
50,0.5,5,Regularized Horseshoe,6.477078600000823,,,,,,1.0554332990349915,False
50,0.5,6,AEH,6.3863525000051595,,,,,,1.132191200039021,False
50,0.5,6,Horseshoe,4.648040800006129,0.004499157777397704,0.1,261.83687306480255,,,1.0130069009547782,True
50,0.5,6,Regularized Horseshoe,4.728205199993681,0.004326088305616546,0.1,269.76838450332264,,,1.0149960884917897,True
50,0.5,7,AEH,4.374247200001264,,,,,,1.062556809619446,False
50,0.5,7,Horseshoe,3.4057314999809023,0.0045578554734214734,0.1,251.17756538761975,,,1.028532799614234,True
50,0.5,7,Regularized Horseshoe,2.898312800010899,0.004137689516835084,0.1,255.923161269797,,,1.0009971604683812,True
50,0.5,8,AEH,3.746639899996808,0.0032320850128012813,0.175,228.72928105895494,0.5253669099708029,,1.0273879362585665,True
50,0.5,8,Horseshoe,3.5256274999992456,0.0033414733842589443,0.125,263.50836849500547,,,1.0141611789929648,True
50,0.5,8,Regularized Horseshoe,2.467323300021235,0.0034199410155284576,0.125,272.0541755396618,,,1.0019320548086028,True
50,0.5,9,AEH,3.290463799989084,0.004610564295585405,0.125,243.22776602200858,0.5292833954247194,,1.047590988978073,True
50,0.5,9,Horseshoe,3.0794372000091244,0.004725449647520316,0.125,266.298013951254,,,1.036513965997523,True
50,0.5,9,Regularized Horseshoe,2.2768866999831516,0.0044913179976425206,0.1,280.0533128062533,,,1.0041921303416013,True
50,0.5,10,AEH,3.5057651000097394,,,,,,1.0521454003572892,False
50,0.5,10,Horseshoe,3.097956299985526,0.006916009108690187,0.125,242.96926768043988,,,1.0254255466303914,True
50,0.5,10,Regularized Horseshoe,2.2092269999848213,0.0073775341438108155,0.1,253.73968347089453,,,1.0014581311016266,True
50,0.5,11,AEH,2.658575999987079,,,,,,1.0930796852726883,False
50,0.5,11,Horseshoe,2.3021677999931853,0.0076451038162553995,0.2,209.16929552043646,,,1.038067037010239,True
50,0.5,11,Regularized Horseshoe,2.7908058000029996,0.006615769795915237,0.125,281.3941509503451,,,1.003209847839807,True
50,0.5,12,AEH,3.382720199995674,,,,,,1.1257338610339154,False
50,0.5,12,Horseshoe,2.303369599976577,0.01532028173208456,0.1,248.65021570233654,,,1.0344713577335714,True
50,0.5,12,Regularized Horseshoe,1.8385874000086915,0.015806295442601124,0.125,267.9592793751033,,,1.0030774811552856,True
50,0.5,13,AEH,2.327939900016645,0.003503106212779751,0.2,240.38080168146007,0.5172103418738221,,1.0408331291622595,True
50,0.5,13,Horseshoe,1.9530268000089563,,,,,,1.0776583673372646,False
50,0.5,13,Regularized Horseshoe,1.7712414999841712,0.003286352504428168,0.2,280.2986400538289,,,1.001853444116083,True
50,0.5,14,AEH,2.3750449000217486,0.001957198259788991,0.075,212.05802671835738,0.5202454674282091,,1.0492804367609887,True
50,0.5,14,Horseshoe,2.0094397999928333,0.0021711290063000355,0.075,269.3983641932808,,,1.026746254870949,True
50,0.5,14,Regularized Horseshoe,1.9506495999812614,0.0021166758504853308,0.075,255.86032094523645,,,1.0232546349895042,True
50,0.5,15,AEH,2.3574674999981653,0.008105649864520226,0.15,175.72859905094032,0.5295443492122497,,1.0182686218017423,True
50,0.5,15,Horseshoe,1.9163216000015382,0.008707106693905845,0.15,235.5244103110585,,,1.0406291080655636,True
50,0.5,15,Regularized Horseshoe,1.8939348999992944,0.008900472419343648,0.125,252.27527537630291,,,1.003505239988066,True
50,0.5,16,AEH,2.3552793999842834,0.005229636871027793,0.2,239.60859223180483,0.5170231116010681,,1.0465118062777976,True
50,0.5,16,Horseshoe,1.9894210000056773,0.005474264456660187,0.25,274.04907477338276,,,1.0348066412889214,True
50,0.5,16,Regularized Horseshoe,1.8463583000120707,0.00519998039293706,0.175,273.4063513343402,,,1.0031406737772788,True
50,0.5,17,AEH,2.222326399991289,0.004565106920816115,0.125,238.01949641135528,0.5258485051680521,,1.0177441645200571,True
50,0.5,17,Horseshoe,2.2121574000047985,,,,,,1.06468963596249,False
50,0.5,17,Regularized Horseshoe,1.8331203999987338,0.0047030866579641645,0.125,258.7377913162661,,,1.0022270022952835,True
50,0.5,18,AEH,2.5110972999827936,,,,,,1.2369021345084887,False
50,0.5,18,Horseshoe,2.0705485999933444,0.003945601232149489,0.1,244.65984125935924,,,1.0080220297783897,True
50,0.5,18,Regularized Horseshoe,1.942542200005846,0.004338060322654832,0.075,275.49489453071743,,,1.0042533105457085,True
50,0.5,19,AEH,2.8617775999882724,,,,,,1.2919140108277494,False
50,0.5,19,Horseshoe,2.3656626000010874,,,,,,1.1281846976715124,False
50,0.5,19,Regularized Horseshoe,2.0654878999921493,0.007400986250782173,0.2,267.4948822865958,,,1.0026256383130794,True
50,0.5,20,AEH,2.7226328999968246,,,,,,1.0718096709686946,False
50,0.5,20,Horseshoe,5.933891300024698,0.005977622950259901,0.15,263.57383982420464,,,1.02401047464636,True
50,0.5,20,Regularized Horseshoe,6.561751600005664,0.006545678337950761,0.15,276.64835484952494,,,1.0029685821566123,True
50,0.5,21,AEH,5.831575099990005,0.006419335148312244,0.2,234.55200016780367,0.5205842722490338,,1.017714589660579,True
50,0.5,21,Horseshoe,6.336112399992999,0.006853247102422114,0.2,265.92786054491074,,,1.038650458344006,True
50,0.5,21,Regularized Horseshoe,5.570887200010475,0.006851705491376592,0.15,258.8924879968876,,,1.0024235937671315,True
50,0.5,22,AEH,6.674823199980892,,,,,,1.0732232426578474,False
50,0.5,22,Horseshoe,5.765281699976185,0.006227280017848047,0.05,259.782939914466,,,1.0415862014963189,True
50,0.5,22,Regularized Horseshoe,5.752213400002802,0.0074149457829269395,0.05,266.2789018134315,,,1.0025300525417187,True
50,0.5,23,AEH,5.435829800000647,,,,,,1.0570857142064576,False
50,0.5,23,Horseshoe,4.472438199998578,0.006442323304161168,0.025,252.3116006452599,,,1.0433944606712249,True
50,0.5,23,Regularized Horseshoe,4.549055700015742,0.006156362557694401,0.05,259.54509849318265,,,1.0034530392323653,True
50,0.5,24,AEH,5.458184799994342,0.007729054530464921,0.2,188.2251377821746,0.5231297048821153,,1.0173213207098635,True
50,0.5,24,Horseshoe,6.152508699975442,0.008024052192815264,0.2,242.8048662047503,,,1.041268042585239,True
