p,rho,replication,method,wall_clock_s
50,0.5,0,AEH,5.0803184999967925
50,0.5,0,Horseshoe,4.760144800005946
50,0.5,0,Regularized Horseshoe,4.204519399994751
50,0.5,1,AEH,4.928229800018016
50,0.5,1,Horseshoe,4.912343000003602
50,0.5,1,Regularized Horseshoe,4.943543400004273
50,0.5,2,AEH,5.4683682000031695
50,0.5,2,Horseshoe,4.019627600006061
50,0.5,2,Regularized Horseshoe,3.5007680999988224
50,0.5,3,AEH,3.9775613000092562
50,0.5,3,Horseshoe,4.218689500004984
50,0.5,3,Regularized Horseshoe,4.090993899997557
50,0.5,4,AEH,3.8902138999837916
50,0.5,4,Horseshoe,3.3443588000081945
50,0.5,4,Regularized Horseshoe,3.4794245999946725
50,0.5,5,AEH,4.914023500023177
50,0.5,5,Horseshoe,4.852078299998539
50,0.5,5,Regularized Horseshoe,6.477078600000823
50,0.5,6,AEH,6.3863525000051595
50,0.5,6,Horseshoe,4.648040800006129
50,0.5,6,Regularized Horseshoe,4.728205199993681
50,0.5,7,AEH,4.374247200001264
50,0.5,7,Horseshoe,3.4057314999809023
50,0.5,7,Regularized Horseshoe,2.898312800010899
50,0.5,8,AEH,3.746639899996808
50,0.5,8,Horseshoe,3.5256274999992456
50,0.5,8,Regularized Horseshoe,2.467323300021235
50,0.5,9,AEH,3.290463799989084
50,0.5,9,Horseshoe,3.0794372000091244
50,0.5,9,Regularized Horseshoe,2.2768866999831516
50,0.5,10,AEH,3.5057651000097394
50,0.5,10,Horseshoe,3.097956299985526
50,0.5,10,Regularized Horseshoe,2.2092269999848213
50,0.5,11,AEH,2.658575999987079
50,0.5,11,Horseshoe,2.3021677999931853
50,0.5,11,Regularized Horseshoe,2.7908058000029996
50,0.5,12,AEH,3.382720199995674
50,0.5,12,Horseshoe,2.303369599976577
50,0.5,12,Regularized Horseshoe,1.8385874000086915
50,0.5,13,AEH,2.327939900016645
50,0.5,13,Horseshoe,1.9530268000089563
50,0.5,13,Regularized Horseshoe,1.7712414999841712
50,0.5,14,AEH,2.3750449000217486
50,0.5,14,Horseshoe,2.0094397999928333
50,0.5,14,Regularized Horseshoe,1.9506495999812614
50,0.5,15,AEH,2.3574674999981653
50,0.5,15,Horseshoe,1.9163216000015382
