condition,replication,wall_clock_s
Correct,0,1.5416161000030115
Correct,1,1.4972228000406176
Correct,2,1.4923441000282764
Correct,3,1.5069394999882206
Correct,4,1.5233200000366196
Correct,5,1.5619749000179581
Correct,6,1.52174150000792
Correct,7,1.4153703000047244
Correct,8,1.872199699981138
Correct,9,1.5729142999625765
Correct,10,1.3731841999688186
Correct,11,1.6096271999995224
Correct,12,1.570654299983289
Correct,13,1.3611578999552876
Correct,14,1.4928118999814615
Correct,15,1.6360141999903135
Correct,16,1.5252000000327826
Correct,17,1.3743668000097387
Correct,18,1.5238421999965794
Correct,19,1.4598498999839649
Correct,20,1.579700700007379
Correct,21,1.687340900010895
Correct,22,2.242351399967447
Correct,23,1.7316917999996804
Correct,24,1.4623549000243656
Correct,25,1.5122059000423178
Correct,26,1.515685599995777
Correct,27,1.4487174000241794
Correct,28,1.7312643000041135
Correct,29,1.586693799996283
Correct,30,1.7659626999520697
Correct,31,1.9666828000335954
Correct,32,1.612836399988737
Correct,33,1.5635049999691546
Correct,34,1.4439237999613397
Correct,35,1.5385764999664389
Correct,36,1.4986252000089735
Correct,37,1.4355283999466337
Correct,38,1.5233031999669038
Correct,39,1.4920297999633476
Correct,40,1.4521746000391431
Correct,41,1.5829728999524377
Correct,42,1.5190178000484593
Correct,43,1.7428523999988101
Correct,44,1.6480291000334546
Correct,45,1.587910100002773
Correct,46,1.611100299982354
Correct,47,1.5348646000493318
Correct,48,1.6023616999736987
Correct,49,1.496746200020425
Fully swapped,0,1.5142679000273347
Fully swapped,1,1.6452980999602005
Fully swapped,2,1.5787632999708876
Fully swapped,3,1.6056926000164822
Fully swapped,4,1.547582200029865
Fully swapped,5,1.596268399967812
Fully swapped,6,1.5675171000184491
Fully swapped,7,1.5518305000150576
Fully swapped,8,1.5913269000011496
Fully swapped,9,1.563218199997209
Fully swapped,10,1.4902426000335254
Fully swapped,11,1.6094125999952666
Fully swapped,12,1.703703899984248
Fully swapped,13,1.6621685000136495
Fully swapped,14,1.4458301999839023
Fully swapped,15,1.6096864999854006
Fully swapped,16,1.6534932000213303
Fully swapped,17,1.678942700033076
Fully swapped,18,1.6274024000158533
Fully swapped,19,1.6847168000531383
Fully swapped,20,1.53008639998734
Fully swapped,21,1.5861094999709167
Fully swapped,22,1.7361019999952987
Fully swapped,23,1.5023790000122972
Fully swapped,24,1.454280000005383
Fully swapped,25,1.5584529000334442
Fully swapped,26,1.574281900015194
Fully swapped,27,1.525810899969656
Fully swapped,28,1.5768005999852903
Fully swapped,29,1.5333942000288516
Fully swapped,30,1.648402199964039
Fully swapped,31,1.5512864000047557
Fully swapped,32,1.5643550000386313
