condition,replication,converged,warmup_used,rhat_max
Correct,0,False,8000,1.4157791387496514
Correct,1,False,8000,1.3370922416755564
Correct,2,False,8000,1.3308959048784814
Correct,3,False,8000,1.773899926596386
Correct,4,False,8000,1.7029986075463912
Correct,5,False,8000,1.2055644694835392
Correct,6,False,8000,1.2129215864378398
Correct,7,False,8000,1.3611388211664746
Correct,8,False,8000,1.2211426911415648
Correct,9,False,8000,1.735408745905691
Correct,10,False,8000,1.2849308305270917
Correct,11,False,8000,8.344410853808402
Correct,12,False,8000,1.5957212515652073
Correct,13,False,8000,1.3532352046287477
Correct,14,False,8000,1.3145695268596402
Correct,15,False,8000,1.5041198210508353
Correct,16,False,8000,1332.3452110214678
Correct,17,False,8000,1.3668563191204155
Correct,18,False,8000,1.3022423266732694
Correct,19,False,8000,48.635929521026384
Correct,20,False,8000,1.3581252437181217
Correct,21,False,8000,1.7828801997159547
Correct,22,False,8000,1.484909297897019
Correct,23,False,8000,1.3517912606788545
Correct,24,False,8000,1.3605753899447504
Correct,25,False,8000,1.185345740006156
Correct,26,False,8000,1.1015458005689498
Correct,27,False,8000,1.2241704420072619
Correct,28,False,8000,1.5520522447523146
Correct,29,False,8000,1.8412073596725456
Correct,30,False,8000,1.2918245139488314
Correct,31,False,8000,1.7166820200282875
Correct,32,False,8000,1.2332757824016303
Correct,33,False,8000,1.4136259084732752
Correct,34,False,8000,1.8425773633062683
Correct,35,False,8000,1.4183037716076203
Correct,36,False,8000,24.859605335674818
Correct,37,False,8000,1.2070785974760534
Correct,38,False,8000,34.85311438730631
Correct,39,False,8000,1.4108521933659015
Correct,40,False,8000,1.5364683342641177
Correct,41,False,8000,1.4032506293376221
Correct,42,False,8000,1.2141753042840002
Correct,43,False,8000,1.7011832934489142
Correct,44,False,8000,1.5045643821250172
Correct,45,False,8000,1.8038004609364677
Correct,46,False,8000,1.4673324115557667
Correct,47,False,8000,1.4296634484008377
Correct,48,False,8000,1.3458085290754411
Correct,49,False,8000,1.468771997592664
Fully swapped,0,True,4000,1.044398450050177
Fully swapped,1,True,8000,1.0010232654881075
Fully swapped,2,True,4000,1.001779067232597
Fully swapped,3,True,4000,1.007006166515985
Fully swapped,4,True,8000,1.0273954958485336
Fully swapped,5,True,4000,1.0008418807330195
Fully swapped,6,True,4000,1.0010377675987439
Fully swapped,7,True,4000,1.0011169441327898
Fully swapped,8,True,8000,1.0020143660055645
Fully swapped,9,True,4000,1.00112221003817
Fully swapped,10,True,4000,1.0062614314876765
Fully swapped,11,True,4000,1.0030700305489173
Fully swapped,12,True,4000,1.0370514944476545
Fully swapped,13,True,4000,1.0009089329845213
Fully swapped,14,True,8000,1.001231896530844
Fully swapped,15,True,4000,1.0020181762265017
Fully swapped,16,True,8000,1.0421791712371624
Fully swapped,17,True,4000,1.0020248153492899
Fully swapped,18,True,4000,1.0021303734714704
Fully swapped,19,True,8000,1.0077122617253484
Fully swapped,20,True,8000,1.001607095756526
Fully swapped,21,True,4000,1.004007722850014
Fully swapped,22,True,4000,1.00190012109953
Fully swapped,23,True,4000,1.0065404905382136
Fully swapped,24,True,4000,1.0007973226703668
Fully swapped,25,True,4000,1.0007867234778778
Fully swapped,26,True,4000,1.0017926523536382
Fully swapped,27,True,4000,1.001434928379979
Fully swapped,28,False,8000,1.697771007227837e+16
Fully swapped,29,True,8000,1.0015348446226398
Fully swapped,30,True,8000,1.0025996010875418
Fully swapped,31,True,4000,1.0011742913393316
Fully swapped,32,True,4000,1.003791160843923
Fully swapped,33,True,4000,1.0013864268091293
Fully swapped,34,True,4000,1.001057520469032
Fully swapped,35,True,4000,1.0018019224505208
Fully swapped,36,True,8000,1.0008313970044727
Fully swapped,37,True,8000,1.0222440556748642
Fully swapped,38,False,8000,1.1666220925718647
Fully swapped,39,True,4000,1.003633526943255
Fully swapped,40,True,8000,1.0070415472104963
Fully swapped,41,True,8000,1.0005897748911656
Fully swapped,42,True,4000,1.0048426474926941
Fully swapped,43,True,4000,1.0480960987384647
Fully swapped,44,True,4000,1.0047182206827565
Fully swapped,45,True,4000,1.0009066838088905
Fully swapped,46,True,4000,1.0013343649698838
Fully swapped,47,True,4000,1.0019536997891734
Fully swapped,48,True,4000,1.000903605467053
Fully swapped,49,True,4000,1.0043738436221017
Partial swap,0,False,8000,1.3285649790637675
Partial swap,1,False,8000,1.4034521646943559
Partial swap,2,False,8000,1.942028571669313
Partial swap,3,False,8000,1.8224306675092847
Partial swap,4,False,8000,11.699962370907432
Partial swap,5,False,8000,1.0998796499301544
Partial swap,6,False,8000,1.19286096050567
Partial swap,7,False,8000,1.349694200012197
Partial swap,8,False,8000,1.448185035744881
Partial swap,9,False,8000,1.5352368500977531
Partial swap,10,False,8000,1.4652387391065573
Partial swap,11,False,8000,1.7778985705711168
Partial swap,12,False,8000,1.4002771905432807
Partial swap,13,False,8000,1.4731823588401516
Partial swap,14,False,8000,1.282064875771263
Partial swap,15,False,8000,1.1877180661977986
Partial swap,16,False,8000,22.968327967251177
Partial swap,17,False,8000,1.287251688849193
Partial swap,18,False,8000,50.04650860237412
Partial swap,19,False,8000,1.6867480600649445
Partial swap,20,False,8000,1.4585245383501568
Partial swap,21,False,8000,6.859124217450534
Partial swap,22,False,8000,1.4352240826192229
Partial swap,23,False,8000,1.3189320075349633
Partial swap,24,False,8000,1.5654541776697142
Partial swap,25,False,8000,1.4872799626499407
Partial swap,26,False,8000,1.202724368734728
Partial swap,27,False,8000,1.1456174035494844
Partial swap,28,False,8000,1.5029939997605832
Partial swap,29,False,8000,1.4973138257949783
Partial swap,30,False,8000,1.5931742095825028
Partial swap,31,False,8000,1.7078422633423826
Partial swap,32,False,8000,1.119220710363825
Partial swap,33,False,8000,1.2424765375732163
Partial swap,34,False,8000,1.839007132120737
Partial swap,35,False,8000,1.3706155879539696
Partial swap,36,False,8000,34.55191255786244
Partial swap,37,False,8000,4.666159277541416
Partial swap,38,False,8000,1.4861107631663009
Partial swap,39,False,8000,127.01428871277152
Partial swap,40,False,8000,1.4680790035146614
Partial swap,41,False,8000,1.5263186805912579
Partial swap,42,False,8000,1.5861097757801716
Partial swap,43,False,8000,1.7723460653179866
Partial swap,44,False,8000,1.601346691162102
Partial swap,45,False,8000,1.793656304067915
Partial swap,46,False,8000,1.408626263433382
Partial swap,47,False,8000,2.037144430738385
Partial swap,48,False,8000,1.463280313720033
Partial swap,49,False,8000,1.4681810616784714
All AEH,0,True,4000,1.0426444945417204
All AEH,1,True,8000,1.0010086593913938
All AEH,2,True,4000,1.0019714500402952
All AEH,3,True,4000,1.007657163310274
All AEH,4,False,8000,1.0517785858189335
All AEH,5,True,4000,1.0008413935159357
All AEH,6,True,4000,1.0008435263175612
All AEH,7,True,4000,1.0010924901828249
All AEH,8,True,8000,1.0008678567105338
All AEH,9,True,4000,1.0011118522322424
All AEH,10,True,4000,1.0062572342987175
All AEH,11,True,4000,1.0031194304035962
All AEH,12,True,4000,1.033775556006539
All AEH,13,True,4000,1.0007263279129743
All AEH,14,True,8000,1.0012421939319143
All AEH,15,True,4000,1.0020245676300727
All AEH,16,True,8000,1.015866880430377
All AEH,17,True,4000,1.0016850258585708
All AEH,18,True,4000,1.0021178495912542
All AEH,19,True,8000,1.0076771766602215
All AEH,20,True,8000,1.0017943965853622
All AEH,21,True,4000,1.0036596917736786
All AEH,22,True,4000,1.0022167498794263
All AEH,23,True,4000,1.002711237946347
All AEH,24,True,4000,1.000303004804835
All AEH,25,True,4000,1.0010732691588402
All AEH,26,True,4000,1.0018875559237008
All AEH,27,True,4000,1.001411221161092
All AEH,28,False,8000,6266280112661425.0
All AEH,29,True,8000,1.001557291510501
All AEH,30,True,8000,1.0027382921314978
All AEH,31,True,4000,1.001159485103257
All AEH,32,True,4000,1.0038954199846797
All AEH,33,True,4000,1.0015860137717265
All AEH,34,True,4000,1.0011732080990359
All AEH,35,True,4000,1.0017487773211664
All AEH,36,True,8000,1.0009159735264817
All AEH,37,True,8000,1.02245249542908
All AEH,38,True,8000,1.001168697686867
All AEH,39,True,4000,1.003086789932789
All AEH,40,True,8000,1.0084650236427333
All AEH,41,True,8000,1.000391483386896
All AEH,42,True,4000,1.0046642097385006
All AEH,43,True,8000,1.0026410031781239
All AEH,44,True,4000,1.0037500869174862
All AEH,45,True,4000,1.000874654566496
All AEH,46,True,4000,1.0015846204798706
All AEH,47,True,4000,1.0015242928660315
All AEH,48,True,4000,1.0007945240272278
All AEH,49,True,4000,1.0042637447283824
