condition,replication,warmup_used,wall_clock_s,MSE_signal,FPR,bulk_ESS,converged_alpha,PICP_90,rhat_max,converged_ok
Correct,0,8000,5.018593599961605,,,,,,1.4157791387496514,False
Correct,1,8000,6.585630299989134,,,,,,1.3370922416755564,False
Correct,2,8000,8.113005699997302,,,,,,1.3308959048784814,False
Correct,3,8000,7.554112999991048,,,,,,1.773899926596386,False
Correct,4,8000,7.506653100019321,,,,,,1.7029986075463912,False
Correct,5,8000,7.320292400021572,,,,,,1.2055644694835392,False
Correct,6,8000,9.154867899953388,,,,,,1.2129215864378398,False
Correct,7,8000,8.067907799966633,,,,,,1.3611388211664746,False
Correct,8,8000,10.202963699994143,,,,,,1.2211426911415648,False
Correct,9,8000,6.848965600016527,,,,,,1.735408745905691,False
Correct,10,8000,7.543575499963481,,,,,,1.2849308305270917,False
Correct,11,8000,5.625406200008001,,,,,,8.344410853808402,False
Correct,12,8000,5.593895900005009,,,,,,1.5957212515652073,False
Correct,13,8000,4.8861126999836415,,,,,,1.3532352046287477,False
Correct,14,8000,4.638542300031986,,,,,,1.3145695268596402,False
Correct,15,8000,4.757697099994402,,,,,,1.5041198210508353,False
Correct,16,8000,4.685837700031698,,,,,,1332.3452110214678,False
Correct,17,8000,4.720278500055429,,,,,,1.3668563191204155,False
Correct,18,8000,4.797931200009771,,,,,,1.3022423266732694,False
Correct,19,8000,4.789363400021102,,,,,,48.635929521026384,False
Correct,20,8000,4.692714700009674,,,,,,1.3581252437181217,False
Correct,21,8000,4.770015900023282,,,,,,1.7828801997159547,False
Correct,22,8000,4.748109399981331,,,,,,1.484909297897019,False
Correct,23,8000,4.696199500001967,,,,,,1.3517912606788545,False
Correct,24,8000,4.720542499970179,,,,,,1.3605753899447504,False
Correct,25,8000,4.7686227999511175,,,,,,1.185345740006156,False
Correct,26,8000,4.779635599988978,,,,,,1.1015458005689498,False
Correct,27,8000,4.711367700016126,,,,,,1.2241704420072619,False
Correct,28,8000,4.704942899988964,,,,,,1.5520522447523146,False
Correct,29,8000,4.705731800000649,,,,,,1.8412073596725456,False
Correct,30,8000,4.929877700051293,,,,,,1.2918245139488314,False
Correct,31,8000,4.744151599996258,,,,,,1.7166820200282875,False
Correct,32,8000,4.809349200048018,,,,,,1.2332757824016303,False
Correct,33,8000,4.921244399971329,,,,,,1.4136259084732752,False
Correct,34,8000,4.791614899993874,,,,,,1.8425773633062683,False
Correct,35,8000,4.800188000022899,,,,,,1.4183037716076203,False
Correct,36,8000,6.6234150000382215,,,,,,24.859605335674818,False
Correct,37,8000,5.950321099953726,,,,,,1.2070785974760534,False
Correct,38,8000,6.091889399976935,,,,,,34.85311438730631,False
Correct,39,8000,5.578786099969875,,,,,,1.4108521933659015,False
Correct,40,8000,5.621864299988374,,,,,,1.5364683342641177,False
Correct,41,8000,5.543865200015716,,,,,,1.4032506293376221,False
Correct,42,8000,5.591695400013123,,,,,,1.2141753042840002,False
Correct,43,8000,5.913947999943048,,,,,,1.7011832934489142,False
Correct,44,8000,5.633735199982766,,,,,,1.5045643821250172,False
Correct,45,8000,5.730142799962778,,,,,,1.8038004609364677,False
Correct,46,8000,5.619921799981967,,,,,,1.4673324115557667,False
Correct,47,8000,5.708076200040523,,,,,,1.4296634484008377,False
Correct,48,8000,5.704769300005864,,,,,,1.3458085290754411,False
Correct,49,8000,5.614513200009242,,,,,,1.468771997592664,False
Fully swapped,0,4000,2.718964999949094,0.000743478345274744,0.13333333333333333,261.6313525693778,0.4456551876972695,0.96,1.044398450050177,True
Fully swapped,1,8000,6.192191699985415,0.006888492139821989,0.06666666666666667,301.6243184670215,0.4579689647096611,0.9533333333333334,1.0010232654881075,True
Fully swapped,2,4000,2.8354326999979094,0.0024419762080209037,0.06666666666666667,296.368689715344,0.46652655116143504,0.94,1.001779067232597,True
Fully swapped,3,4000,2.4276535999961197,0.0048956640540176646,0.06666666666666667,278.1336652190495,0.4719413385836247,0.9466666666666667,1.007006166515985,True
Fully swapped,4,8000,5.871356700023171,0.009517054993873298,0.0,262.2471728255904,0.5191003160119488,0.9533333333333334,1.0273954958485336,True
Fully swapped,5,4000,2.291175700025633,0.005806386524070676,0.06666666666666667,301.12082972841176,0.5106231960732035,0.9633333333333334,1.0008418807330195,True
Fully swapped,6,4000,2.2753025999991223,0.03426729558868637,0.2,298.906845071232,0.45985390738013077,0.97,1.0010377675987439,True
Fully swapped,7,4000,2.256197200040333,0.012274803825652502,0.2,310.49411096463274,0.48882901871391343,0.97,1.0011169441327898,True
Fully swapped,8,8000,6.450976200052537,0.020990052324534096,0.06666666666666667,309.72889501638514,0.45639532762615237,0.96,1.0020143660055645,True
Fully swapped,9,4000,2.5803155999747105,0.04903801068393691,0.13333333333333333,307.06454676953604,0.4723464779493117,0.9633333333333334,1.00112221003817,True
Fully swapped,10,4000,2.3204590000095777,0.005755922307984534,0.0,271.4506305427953,0.5008173579526247,0.97,1.0062614314876765,True
Fully swapped,11,4000,2.2708567999652587,0.0033890315382699896,0.06666666666666667,249.35956681512704,0.4980183690236889,0.9633333333333334,1.0030700305489173,True
Fully swapped,12,4000,2.2894513999926858,0.022428410537437684,0.26666666666666666,92.2791979685365,0.4566527523215006,0.9533333333333334,1.0370514944476545,True
Fully swapped,13,4000,2.2686216000001878,0.006139429464021389,0.13333333333333333,307.1293741798123,0.46438243245400446,0.9766666666666667,1.0009089329845213,True
Fully swapped,14,8000,5.866743100050371,0.01121038784497032,0.13333333333333333,304.386689410984,0.4774397496883392,0.96,1.001231896530844,True
Fully swapped,15,4000,2.296607700001914,0.007811606032133332,0.06666666666666667,277.96591598083194,0.49821967626063746,0.9566666666666667,1.0020181762265017,True
Fully swapped,16,8000,5.801522699999623,0.008697603824204477,0.3333333333333333,127.8897913477247,0.47762427978499034,0.9566666666666667,1.0421791712371624,True
Fully swapped,17,4000,2.2666496000019833,0.0062033624915216095,0.4,270.0244595704438,0.42273536296159847,0.97,1.0020248153492899,True
Fully swapped,18,4000,2.3265398999792524,0.01172652660371118,0.13333333333333333,306.3196400351104,0.4735084937127153,0.9666666666666667,1.0021303734714704,True
Fully swapped,19,8000,5.884282299957704,0.0016171175859022522,0.13333333333333333,291.8466970590866,0.48903686317047124,0.9666666666666667,1.0077122617253484,True
Fully swapped,20,8000,5.99865259998478,0.009087830066830683,0.13333333333333333,282.0944879139354,0.4485131351456642,0.9466666666666667,1.001607095756526,True
Fully swapped,21,4000,2.2725013999734074,0.015580871822044883,0.0,277.2777206091805,0.508359894448459,0.96,1.004007722850014,True
Fully swapped,22,4000,2.3165002000168897,0.0037916039460066087,0.26666666666666666,282.7222511853199,0.43683964707849193,0.95,1.00190012109953,True
Fully swapped,23,4000,2.2988550000009127,0.015191772120857514,0.06666666666666667,231.25297562015712,0.4920486839986158,0.9633333333333334,1.0065404905382136,True
Fully swapped,24,4000,2.272320899995975,0.01777208930258902,0.13333333333333333,304.8960260370763,0.4554264783861345,0.9766666666666667,1.0007973226703668,True
Fully swapped,25,4000,2.295977799978573,0.04754346259233898,0.06666666666666667,309.9264933084836,0.4384922547698542,0.95,1.0007867234778778,True
Fully swapped,26,4000,2.412763000000268,0.010477677661082402,0.06666666666666667,308.4382558936622,0.48029793679853416,0.95,1.0017926523536382,True
Fully swapped,27,4000,2.4631784000084735,0.004880629440418391,0.13333333333333333,304.07266534361486,0.46805691878755307,0.9633333333333334,1.001434928379979,True
Fully swapped,28,8000,6.0322608999558724,,,,,,1.697771007227837e+16,False
Fully swapped,29,8000,5.806011000007857,0.0058255835607344385,0.06666666666666667,267.6503811893936,0.5257668715567597,0.96,1.0015348446226398,True
Fully swapped,30,8000,5.814503700006753,0.027028052252003294,0.13333333333333333,283.42802358670343,0.4621202031692309,0.9766666666666667,1.0025996010875418,True
Fully swapped,31,4000,2.2549137999885716,0.010448308001068985,0.13333333333333333,294.2725923543298,0.4757651366565139,0.9733333333333334,1.0011742913393316,True
Fully swapped,32,4000,2.315853000036441,0.013863461498370786,0.06666666666666667,274.69208232340736,0.4514517986333092,0.95,1.003791160843923,True
Fully swapped,33,4000,2.257665699988138,0.0009691411946779092,0.0,308.1599243076353,0.5168477442095597,0.97,1.0013864268091293,True
Fully swapped,34,4000,2.2921707999776118,0.013628615090454304,0.06666666666666667,305.8381245806394,0.49848263107797663,0.9733333333333334,1.001057520469032,True
Fully swapped,35,4000,2.348674500011839,0.005858681823427893,0.2,294.8725924645627,0.4657713599170413,0.96,1.0018019224505208,True
Fully swapped,36,8000,6.043493999983184,0.017003449442551534,0.13333333333333333,323.5085039666018,0.47832941087183833,0.9666666666666667,1.0008313970044727,True
Fully swapped,37,8000,5.908160499995574,0.009472372094453906,0.0,244.05718619080716,0.49061814217106625,0.9766666666666667,1.0222440556748642,True
Fully swapped,38,8000,5.893866099999286,,,,,,1.1666220925718647,False
Fully swapped,39,4000,2.2665091000380926,0.010663362174887638,0.0,218.77330397932687,0.5172925766041969,0.9666666666666667,1.003633526943255,True
Fully swapped,40,8000,5.933359800023027,0.011604312419716087,0.06666666666666667,261.4067219449477,0.49363770366193427,0.9533333333333334,1.0070415472104963,True
Fully swapped,41,8000,5.951634600001853,0.030304746623663593,0.13333333333333333,311.88564473917455,0.45757410149394473,0.9833333333333333,1.0005897748911656,True
Fully swapped,42,4000,2.465251299960073,0.007897889258877785,0.13333333333333333,299.03065237036196,0.4676062407379451,0.98,1.0048426474926941,True
Fully swapped,43,4000,2.3443203000351787,0.020187861988323362,0.0,169.81245071102794,0.49702699933219424,0.9966666666666667,1.0480960987384647,True
Fully swapped,44,4000,2.295650799991563,0.015251227543583611,0.06666666666666667,295.10590675622694,0.5257171220936212,0.95,1.0047182206827565,True
Fully swapped,45,4000,2.3065869999700226,0.005048675184774208,0.26666666666666666,311.6472736366612,0.4430548429737823,0.95,1.0009066838088905,True
Fully swapped,46,4000,2.374621400027536,0.016243166632338654,0.2,310.6458932752246,0.4450205429265145,0.97,1.0013343649698838,True
Fully swapped,47,4000,2.337051100039389,0.017484116914466455,0.06666666666666667,284.67525246284674,0.5143746984879398,0.9533333333333334,1.0019536997891734,True
Fully swapped,48,4000,2.593976499978453,0.01175486076034267,0.06666666666666667,303.56196460283104,0.48853910285512203,0.96,1.000903605467053,True
Fully swapped,49,4000,2.5792647000052966,0.02190981237862971,0.13333333333333333,262.09546156726725,0.48334886112269715,0.97,1.0043738436221017,True
Partial swap,0,8000,5.792834300023969,,,,,,1.3285649790637675,False
Partial swap,1,8000,5.707332200021483,,,,,,1.4034521646943559,False
Partial swap,2,8000,5.610652900009882,,,,,,1.942028571669313,False
Partial swap,3,8000,5.9986640000133775,,,,,,1.8224306675092847,False
Partial swap,4,8000,5.824139499978628,,,,,,11.699962370907432,False
Partial swap,5,8000,5.774360899988096,,,,,,1.0998796499301544,False
Partial swap,6,8000,5.688326700008474,,,,,,1.19286096050567,False
Partial swap,7,8000,5.864926199952606,,,,,,1.349694200012197,False
Partial swap,8,8000,5.765542400011327,,,,,,1.448185035744881,False
Partial swap,9,8000,5.72879570000805,,,,,,1.5352368500977531,False
Partial swap,10,8000,5.7305556000210345,,,,,,1.4652387391065573,False
Partial swap,11,8000,5.739328299998306,,,,,,1.7778985705711168,False
Partial swap,12,8000,5.718184199999087,,,,,,1.4002771905432807,False
Partial swap,13,8000,5.783367399999406,,,,,,1.4731823588401516,False
Partial swap,14,8000,5.699576699989848,,,,,,1.282064875771263,False
Partial swap,15,8000,5.852508799987845,,,,,,1.1877180661977986,False
Partial swap,16,8000,5.752465199970175,,,,,,22.968327967251177,False
Partial swap,17,8000,5.824471700005233,,,,,,1.287251688849193,False
Partial swap,18,8000,5.989746299979743,,,,,,50.04650860237412,False
Partial swap,19,8000,5.763693800021429,,,,,,1.6867480600649445,False
Partial swap,20,8000,5.787009699968621,,,,,,1.4585245383501568,False
Partial swap,21,8000,5.801157700014301,,,,,,6.859124217450534,False
Partial swap,22,8000,5.819021200004499,,,,,,1.4352240826192229,False
Partial swap,23,8000,5.7522704000002705,,,,,,1.3189320075349633,False
Partial swap,24,8000,5.882553200004622,,,,,,1.5654541776697142,False
Partial swap,25,8000,6.175050999969244,,,,,,1.4872799626499407,False
Partial swap,26,8000,5.870179999968968,,,,,,1.202724368734728,False
Partial swap,27,8000,6.145651200029533,,,,,,1.1456174035494844,False
Partial swap,28,8000,6.316183099988848,,,,,,1.5029939997605832,False
