method,replication,PICP_90,PICP_50,MSE_signal,FPR,rhat_max,converged,inferred_nu_mean
AEH,0,0.966,0.768,0.053651223170409476,0.44583333333333336,1.039871278444255,True,5.679999999999997
Horseshoe,0,0.964,0.782,0.05562255428423703,0.44166666666666665,1.0566146878612248,True,5.679999999999997
AEH,1,0.998,0.876,0.02278891270664201,0.20416666666666666,1.024235206661063,True,5.866897230943333
Horseshoe,1,0.998,0.878,0.023373886010258745,0.20833333333333334,1.0295576738367371,True,5.867315645443179
AEH,2,0.998,0.868,0.018293374971096125,0.16666666666666666,1.0536042940246577,True,5.679999999999997
Horseshoe,2,1.0,0.872,0.0189762736352843,0.1625,1.0646455107553876,True,5.679999999999997
AEH,3,0.992,0.846,0.016934412678947817,0.13333333333333333,1.0293075972211405,True,5.679999999999997
Horseshoe,3,0.992,0.852,0.01681948851141645,0.12916666666666668,1.0496567970585273,True,5.679999999999997
AEH,4,1.0,0.862,0.01575940579782646,0.13333333333333333,1.0383191859400303,True,5.771545131259802
Horseshoe,4,0.998,0.864,0.01591267227296486,0.13333333333333333,1.0396658510803491,True,5.771098964224756
AEH,5,0.998,0.872,0.016055699070256103,0.175,1.0129860578208887,True,5.679999999999997
Horseshoe,5,1.0,0.87,0.016183200292367316,0.17083333333333334,1.0204913860536935,True,5.679999999999997
AEH,6,0.968,0.75,0.049134375998331585,0.3875,1.053105971129036,True,5.679999999999997
Horseshoe,6,0.962,0.764,0.04954320473847622,0.37916666666666665,1.0569631167278553,True,5.679999999999997
AEH,7,0.992,0.832,0.032887160272368945,0.2125,1.046098629277612,True,5.679999999999997
Horseshoe,7,0.992,0.826,0.034224641052514555,0.20416666666666666,1.0690181208950809,True,5.679999999999997
AEH,8,0.992,0.81,0.03491521460991334,0.31666666666666665,1.049738039973831,True,5.679999999999997
Horseshoe,8,0.988,0.82,0.03569406101105744,0.31666666666666665,1.0454120293626903,True,5.679999999999997
AEH,9,0.998,0.874,0.014498666081725281,0.1375,1.0556098361701012,True,5.679999999999997
Horseshoe,9,0.998,0.874,0.01471157835195335,0.13333333333333333,1.070225744814542,True,5.679999999999997
