replication,method,wall_clock_s
0,AEH,266.55309850000776
0,Horseshoe,264.5890454999753
0,Regularized Horseshoe,253.5136278999853
0,Bayesian Elastic Net,263.45738420001
1,AEH,254.07684629998403
1,Horseshoe,262.35876090003876
1,Regularized Horseshoe,280.9014461999759
1,Bayesian Elastic Net,257.3268425000133
2,AEH,268.9074013000354
2,Horseshoe,260.49522219999926
2,Regularized Horseshoe,262.6648147999658
2,Bayesian Elastic Net,279.2590729999938
3,AEH,266.5511424000142
3,Horseshoe,267.0919782000128
3,Regularized Horseshoe,261.3588058000314
3,Bayesian Elastic Net,262.6668421999784
4,AEH,258.89176819997374
4,Horseshoe,259.6917913000216
4,Regularized Horseshoe,264.4196135000093
4,Bayesian Elastic Net,262.63482970005134
5,AEH,259.55723840004066
5,Horseshoe,265.79729089996545
5,Regularized Horseshoe,257.3728581999894
5,Bayesian Elastic Net,254.43108110001776
6,AEH,266.9702889000182
6,Horseshoe,264.14461080002366
6,Regularized Horseshoe,259.00240910000866
6,Bayesian Elastic Net,264.94540909997886
7,AEH,269.7489829999977
7,Horseshoe,263.83309349999763
7,Regularized Horseshoe,270.744659900025
7,Bayesian Elastic Net,306.2339987999876
8,AEH,265.5416536999983
8,Horseshoe,265.3946810999769
8,Regularized Horseshoe,262.039410700032
8,Bayesian Elastic Net,265.8813983
9,AEH,261.2428326999652
9,Horseshoe,263.05408400000306
9,Regularized Horseshoe,270.7323871999979
9,Bayesian Elastic Net,261.22920709999744
10,AEH,259.2705892000231
10,Horseshoe,273.6424861000269
10,Regularized Horseshoe,264.36382470000535
10,Bayesian Elastic Net,258.2255132999853
11,AEH,310.9840862999554
11,Horseshoe,266.37119679996977
11,Regularized Horseshoe,278.44523730000947
11,Bayesian Elastic Net,307.3899183999747
12,AEH,292.3544021000271
12,Horseshoe,256.10074500000337
12,Regularized Horseshoe,259.09740530001
12,Bayesian Elastic Net,264.1501365000149
13,AEH,260.05686770001194
13,Horseshoe,252.28634270001203
13,Regularized Horseshoe,259.9976238999516
13,Bayesian Elastic Net,262.4137218000251
14,AEH,253.74202329997206
14,Horseshoe,287.2197953000432
14,Regularized Horseshoe,259.65549979999196
14,Bayesian Elastic Net,263.01741139998194
15,AEH,260.8276729999925
15,Horseshoe,259.8288659999962
15,Regularized Horseshoe,259.36610510002356
15,Bayesian Elastic Net,259.0272577999858
16,AEH,267.52017510001315
16,Horseshoe,269.6115082000033
16,Regularized Horseshoe,268.88572310004383
16,Bayesian Elastic Net,260.49293589999434
17,AEH,269.61805670004105
17,Horseshoe,278.21202219999395
17,Regularized Horseshoe,258.7485161999939
17,Bayesian Elastic Net,264.23502640001243
18,AEH,255.4758887999924
18,Horseshoe,262.675719699997
18,Regularized Horseshoe,275.4766182999592
18,Bayesian Elastic Net,268.2854599999846
19,AEH,261.2594253999996
19,Horseshoe,262.63720350002404
19,Regularized Horseshoe,271.79439389996696
19,Bayesian Elastic Net,259.21112909994554
20,AEH,260.51997069997014
20,Horseshoe,251.68209759995807
20,Regularized Horseshoe,262.961306000012
20,Bayesian Elastic Net,259.59664940001676
21,AEH,275.31213640002534
21,Horseshoe,271.5146732000285
21,Regularized Horseshoe,258.15115089999745
21,Bayesian Elastic Net,261.5951942000538
22,AEH,264.47779989999253
22,Horseshoe,280.6731276999926
22,Regularized Horseshoe,251.0061527999933
22,Bayesian Elastic Net,262.1946762999869
23,AEH,266.8635187000036
23,Horseshoe,254.78815560002113
23,Regularized Horseshoe,248.31472439999925
23,Bayesian Elastic Net,258.0337988999672
24,AEH,260.71337869996205
24,Horseshoe,249.4256131000002
24,Regularized Horseshoe,252.16805869998643
24,Bayesian Elastic Net,254.48931680002715
25,AEH,263.2248981000157
25,Horseshoe,257.0512748999754
25,Regularized Horseshoe,258.77982250001514
25,Bayesian Elastic Net,258.3237656999845
26,AEH,252.07626960001653
26,Horseshoe,253.01508109999122
26,Regularized Horseshoe,263.83740820002276
26,Bayesian Elastic Net,269.7746197999804
27,AEH,260.8450322000426
27,Horseshoe,261.9249885000172
27,Regularized Horseshoe,265.34836499998346
27,Bayesian Elastic Net,252.41721629997483
28,AEH,263.08885060000466
28,Horseshoe,257.7700383000192
28,Regularized Horseshoe,255.77842410001904
28,Bayesian Elastic Net,288.6043774999562
29,AEH,267.9447118000244
29,Horseshoe,259.12419140001293
29,Regularized Horseshoe,255.2377255000174
29,Bayesian Elastic Net,255.9919214999536
