,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
aeh_prior::energy_coeffs[0],44.5083,0.5946,43.4137,45.6294,0.0143,0.0106,1732.62,1896.9086,1.0023
aeh_prior::energy_coeffs[1],52.1665,168.9116,-30.0632,405.1987,30.6835,39.111,44.5414,88.7447,1.0598
aeh_prior::energy_coeffs[2],-0.0765,0.7794,-1.6439,1.2945,0.0361,0.0647,841.5678,378.6573,1.0053
aeh_prior::energy_coeffs[3],0.3724,0.0091,0.3554,0.389,0.0003,0.0002,1289.0088,1961.6585,1.0063
aeh_prior::energy_coeffs[4],0.5704,0.0079,0.5553,0.5853,0.0003,0.0002,920.2888,1160.7517,1.007
aeh_prior::energy_coeffs[5],-5.1377,1.3197,-7.7597,-2.8311,0.0285,0.0209,2137.926,2018.1919,1.0014
aeh_prior::energy_coeffs[6],-0.43,1.1314,-3.0183,1.4861,0.0348,0.0321,1243.2039,1347.7743,1.0024
aeh_prior::energy_coeffs[7],6.1217,72.3096,-39.0218,36.9089,4.5188,40.2739,240.9817,79.6069,1.0337
aeh_prior::building_coeffs[0],-15.4104,1.6833,-18.3737,-11.9673,0.0292,0.0285,3313.3737,2550.9328,1.0016
aeh_prior::building_coeffs[1],-3.0913,1.2134,-5.2834,-0.7618,0.0254,0.0187,2285.1242,2493.941,1.0015
aeh_prior::building_coeffs[2],-0.8527,2.3126,-4.7707,4.4189,0.0711,0.0652,1250.0073,1277.5325,1.0026
aeh_prior::interaction_coeffs[0],-0.0547,0.39,-0.7467,0.7446,0.0182,0.032,795.4226,368.2177,1.0042
aeh_prior::intercept,-23.8178,1.9809,-27.4386,-20.2101,0.2085,0.1394,110.184,100.2225,1.0282
aeh_prior::sigma,6.5942,0.0534,6.4943,6.6903,0.001,0.0009,2969.2552,2210.959,1.0001
aeh_prior::tau_energy,2.3599,2.2813,0.177,5.802,0.1025,0.1769,295.3751,1020.0257,1.0154
aeh_prior::lambda_energy[0],40.1508,64.8751,1.2641,111.9284,1.8475,10.4458,841.3613,1298.9063,1.0066
aeh_prior::lambda_energy[1],29.3113,138.29,0.0046,112.4623,15.4148,25.7784,63.5577,56.1473,1.0558
aeh_prior::lambda_energy[2],0.8502,1.6202,0.0006,2.575,0.0337,0.173,1335.6171,1379.9957,1.003
aeh_prior::lambda_energy[3],0.8655,1.3747,0.0244,2.4163,0.0298,0.1343,1812.9546,2391.7641,1.0023
aeh_prior::lambda_energy[4],1.064,1.8966,0.0246,2.8001,0.0405,0.4192,1225.3315,1889.9182,1.0042
aeh_prior::lambda_energy[5],5.1354,10.8502,0.2088,13.6504,0.2681,1.6641,944.2054,1948.5574,1.0078
aeh_prior::lambda_energy[6],1.084,1.8351,0.0005,3.178,0.0386,0.1837,1380.6951,1487.7187,1.0004
aeh_prior::lambda_energy[7],7.4363,48.2268,0.0028,16.4177,3.6311,17.1271,147.4,61.0971,1.0284
aeh_prior::alpha_energy,0.5036,0.2221,0.1225,0.8997,0.0034,0.003,4283.5708,2493.154,1.0016
aeh_prior::beta_energy,0.8105,0.6091,0.0027,1.9258,0.0092,0.0107,2901.7795,1829.6418,1.0007
aeh_prior::sigma_building,3.8946,0.5298,2.9464,4.9145,0.0094,0.0079,3063.4577,2849.027,1.0033
aeh_prior::sigma_interaction,0.558,0.4894,0.001,1.4695,0.0115,0.0094,1476.2897,1226.878,1.0007
aeh_prior::all_coeffs[0],44.5083,0.5946,43.4137,45.6294,0.0143,0.0106,1732.62,1896.9086,1.0023
aeh_prior::all_coeffs[1],52.1665,168.9116,-30.0632,405.1987,30.6835,39.111,44.5414,88.7447,1.0598
aeh_prior::all_coeffs[2],-0.0765,0.7794,-1.6439,1.2945,0.0361,0.0647,841.5678,378.6573,1.0053
aeh_prior::all_coeffs[3],0.3724,0.0091,0.3554,0.389,0.0003,0.0002,1289.0088,1961.6585,1.0063
aeh_prior::all_coeffs[4],0.5704,0.0079,0.5553,0.5853,0.0003,0.0002,920.2888,1160.7517,1.007
aeh_prior::all_coeffs[5],-5.1377,1.3197,-7.7597,-2.8311,0.0285,0.0209,2137.926,2018.1919,1.0014
aeh_prior::all_coeffs[6],-0.43,1.1314,-3.0183,1.4861,0.0348,0.0321,1243.2039,1347.7743,1.0024
aeh_prior::all_coeffs[7],6.1217,72.3096,-39.0218,36.9089,4.5188,40.2739,240.9817,79.6069,1.0337
aeh_prior::all_coeffs[8],-15.4104,1.6833,-18.3737,-11.9673,0.0292,0.0285,3313.3737,2550.9328,1.0016
aeh_prior::all_coeffs[9],-3.0913,1.2134,-5.2834,-0.7618,0.0254,0.0187,2285.1242,2493.941,1.0015
aeh_prior::all_coeffs[10],-0.8527,2.3126,-4.7707,4.4189,0.0711,0.0652,1250.0073,1277.5325,1.0026
aeh_prior::all_coeffs[11],-0.0547,0.39,-0.7467,0.7446,0.0182,0.032,795.4226,368.2177,1.0042
aeh_prior::reordered_coeffs[0],44.5083,0.5946,43.4137,45.6294,0.0143,0.0106,1732.62,1896.9086,1.0023
aeh_prior::reordered_coeffs[1],-0.0765,0.7794,-1.6439,1.2945,0.0361,0.0647,841.5678,378.6573,1.0053
aeh_prior::reordered_coeffs[2],0.3724,0.0091,0.3554,0.389,0.0003,0.0002,1289.0088,1961.6585,1.0063
aeh_prior::reordered_coeffs[3],0.5704,0.0079,0.5553,0.5853,0.0003,0.0002,920.2888,1160.7517,1.007
aeh_prior::reordered_coeffs[4],-5.1377,1.3197,-7.7597,-2.8311,0.0285,0.0209,2137.926,2018.1919,1.0014
aeh_prior::reordered_coeffs[5],-15.4104,1.6833,-18.3737,-11.9673,0.0292,0.0285,3313.3737,2550.9328,1.0016
aeh_prior::reordered_coeffs[6],-0.8527,2.3126,-4.7707,4.4189,0.0711,0.0652,1250.0073,1277.5325,1.0026
aeh_prior::reordered_coeffs[7],-0.0547,0.39,-0.7467,0.7446,0.0182,0.032,795.4226,368.2177,1.0042
aeh_prior::reordered_coeffs[8],52.1665,168.9116,-30.0632,405.1987,30.6835,39.111,44.5414,88.7447,1.0598
aeh_prior::reordered_coeffs[9],-0.43,1.1314,-3.0183,1.4861,0.0348,0.0321,1243.2039,1347.7743,1.0024
aeh_prior::reordered_coeffs[10],-3.0913,1.2134,-5.2834,-0.7618,0.0254,0.0187,2285.1242,2493.941,1.0015
aeh_prior::reordered_coeffs[11],6.1217,72.3096,-39.0218,36.9089,4.5188,40.2739,240.9817,79.6069,1.0337
aeh_prior::aeh_prior_scale[0],0.0018,0.0196,0.0002,0.0036,0.0003,0.0073,3016.4198,2865.4459,1.0017
aeh_prior::aeh_prior_scale[1],4.1782,94.4835,-6.6738,18.2365,1.5452,24.9039,143.1941,862.4057,1.0236
aeh_prior::aeh_prior_scale[2],15.7801,283.209,-27.7061,67.0171,8.7702,107.1951,1679.3689,1738.3205,1.0014
aeh_prior::aeh_prior_scale[3],2.3491,113.5329,-5.8264,11.6566,1.7812,33.7655,2282.5598,3476.798,0.9996
aeh_prior::aeh_prior_scale[4],1.7705,37.1915,-2.7358,6.1291,0.5878,11.0187,2244.1032,3285.7962,1.0008
aeh_prior::aeh_prior_scale[5],0.1132,1.1596,0.0122,0.2589,0.0183,0.4615,2501.8958,2657.5527,1.0012
aeh_prior::aeh_prior_scale[6],6.4583,210.7883,-24.0006,46.3369,3.2834,41.7941,2130.7319,1703.8065,1.0012
