,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
energy_coeffs[0],44.4873,0.6222,43.2644,45.5843,0.0248,0.0198,629.0928,577.3084,1.0038
energy_coeffs[1],4.6457,17.5031,-12.4677,51.6005,5.1041,7.9775,44.4441,12.0308,1.0523
energy_coeffs[2],-0.1118,0.7346,-1.6966,1.1321,0.0455,0.0697,311.502,161.5234,1.005
energy_coeffs[3],0.3728,0.0093,0.3554,0.3906,0.0004,0.0003,620.4806,706.8275,1.0026
energy_coeffs[4],0.5708,0.0076,0.5566,0.5847,0.0003,0.0002,745.2084,701.98,1.0026
energy_coeffs[5],-5.0472,1.3607,-7.6269,-2.4544,0.0545,0.0474,623.4487,518.8738,1.0047
energy_coeffs[6],-0.4508,1.2202,-3.3132,1.331,0.0752,0.0997,330.903,223.8554,1.008
energy_coeffs[7],11.8254,46.8169,-22.0346,50.2394,8.5936,18.8203,90.0514,30.2917,1.0409
building_coeffs[0],-15.4593,1.6177,-18.4239,-12.4044,0.0493,0.0474,1082.8494,588.6619,1.0032
building_coeffs[1],-3.1967,1.2545,-5.6203,-0.8571,0.0503,0.0476,618.7942,555.6575,1.0017
building_coeffs[2],-0.8095,2.4933,-4.6127,5.0677,0.1531,0.2039,336.5053,244.1195,1.012
interaction_coeffs[0],-0.0499,0.3654,-0.6562,0.8117,0.0228,0.0345,303.3732,169.2037,1.0056
intercept,-23.4713,1.6216,-26.2824,-20.322,0.0524,0.0458,950.6402,743.3134,1.002
sigma,6.595,0.0525,6.4943,6.6885,0.0017,0.0019,1022.9547,598.164,1.0021
tau_energy,2.2793,2.2031,0.155,5.8891,0.1813,0.2237,151.1876,344.2829,1.0213
lambda_energy[0],49.449,115.6848,1.6695,120.2632,5.553,23.0063,157.9073,212.1775,1.0212
lambda_energy[1],5.1988,18.642,0.0055,14.429,3.2402,6.5307,44.1439,31.2402,1.0362
lambda_energy[2],0.8342,1.498,0.0037,2.3721,0.0552,0.2873,477.8362,481.1802,1.0001
lambda_energy[3],0.895,1.8125,0.017,2.4711,0.0745,0.5667,562.9,521.9064,1.0113
lambda_energy[4],1.2432,2.9929,0.04,3.1632,0.163,0.9737,405.2544,580.3988,1.0069
lambda_energy[5],6.718,27.9133,0.1876,14.8206,1.469,11.477,299.5288,449.8358,1.0123
lambda_energy[6],1.1827,2.9786,0.0045,3.2479,0.1202,0.9058,410.5775,476.2412,1.0061
lambda_energy[7],7.4726,41.0416,0.0035,18.563,4.09,16.5245,67.7428,48.6733,1.0184
alpha_energy,0.5033,0.2312,0.1083,0.9141,0.0058,0.0058,1522.7744,679.2242,1.001
beta_energy,0.785,0.6008,0.0012,1.91,0.0209,0.0173,599.8086,387.7563,1.0016
sigma_building,3.9128,0.496,3.1121,4.9596,0.0157,0.0149,1136.4498,688.4804,1.004
sigma_interaction,0.5573,0.487,0.0014,1.4024,0.0228,0.0293,421.6282,682.2131,0.9994
all_coeffs[0],44.4873,0.6222,43.2644,45.5843,0.0248,0.0198,629.0928,577.3084,1.0038
all_coeffs[1],4.6457,17.5031,-12.4677,51.6005,5.1041,7.9775,44.4441,12.0308,1.0523
all_coeffs[2],-0.1118,0.7346,-1.6966,1.1321,0.0455,0.0697,311.502,161.5234,1.005
all_coeffs[3],0.3728,0.0093,0.3554,0.3906,0.0004,0.0003,620.4806,706.8275,1.0026
all_coeffs[4],0.5708,0.0076,0.5566,0.5847,0.0003,0.0002,745.2084,701.98,1.0026
all_coeffs[5],-5.0472,1.3607,-7.6269,-2.4544,0.0545,0.0474,623.4487,518.8738,1.0047
all_coeffs[6],-0.4508,1.2202,-3.3132,1.331,0.0752,0.0997,330.903,223.8554,1.008
all_coeffs[7],11.8254,46.8169,-22.0346,50.2394,8.5936,18.8203,90.0514,30.2917,1.0409
all_coeffs[8],-15.4593,1.6177,-18.4239,-12.4044,0.0493,0.0474,1082.8494,588.6619,1.0032
all_coeffs[9],-3.1967,1.2545,-5.6203,-0.8571,0.0503,0.0476,618.7942,555.6575,1.0017
all_coeffs[10],-0.8095,2.4933,-4.6127,5.0677,0.1531,0.2039,336.5053,244.1195,1.012
all_coeffs[11],-0.0499,0.3654,-0.6562,0.8117,0.0228,0.0345,303.3732,169.2037,1.0056
reordered_coeffs[0],44.4873,0.6222,43.2644,45.5843,0.0248,0.0198,629.0928,577.3084,1.0038
reordered_coeffs[1],-0.1118,0.7346,-1.6966,1.1321,0.0455,0.0697,311.502,161.5234,1.005
reordered_coeffs[2],0.3728,0.0093,0.3554,0.3906,0.0004,0.0003,620.4806,706.8275,1.0026
reordered_coeffs[3],0.5708,0.0076,0.5566,0.5847,0.0003,0.0002,745.2084,701.98,1.0026
reordered_coeffs[4],-5.0472,1.3607,-7.6269,-2.4544,0.0545,0.0474,623.4487,518.8738,1.0047
reordered_coeffs[5],-15.4593,1.6177,-18.4239,-12.4044,0.0493,0.0474,1082.8494,588.6619,1.0032
reordered_coeffs[6],-0.8095,2.4933,-4.6127,5.0677,0.1531,0.2039,336.5053,244.1195,1.012
reordered_coeffs[7],-0.0499,0.3654,-0.6562,0.8117,0.0228,0.0345,303.3732,169.2037,1.0056
reordered_coeffs[8],4.6457,17.5031,-12.4677,51.6005,5.1041,7.9775,44.4441,12.0308,1.0523
reordered_coeffs[9],-0.4508,1.2202,-3.3132,1.331,0.0752,0.0997,330.903,223.8554,1.008
