,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
energy_coeffs[0],44.5297,0.6205,43.3878,45.669,0.0239,0.0179,670.4628,793.3289,1.006
energy_coeffs[1],-6.2391,18.5926,-57.7819,16.6486,4.499,4.7159,21.8038,22.5307,1.0671
energy_coeffs[2],-0.1705,0.7382,-1.779,1.2477,0.0688,0.104,234.9761,66.5792,1.0027
energy_coeffs[3],0.373,0.0094,0.3557,0.3904,0.0004,0.0002,638.9077,764.6593,1.0067
energy_coeffs[4],0.5712,0.0079,0.5565,0.5856,0.0003,0.0003,656.7009,420.3807,1.0033
energy_coeffs[5],-5.1471,1.3447,-7.832,-2.7833,0.0628,0.0471,459.027,580.3777,1.0014
energy_coeffs[6],-0.5749,1.3071,-3.0897,1.9401,0.0741,0.0822,360.2689,394.0631,1.0023
energy_coeffs[7],-0.1492,7.1038,-12.9646,12.7077,0.6614,1.9116,231.7896,126.103,1.0118
building_coeffs[0],-15.5194,1.5944,-18.5006,-12.5941,0.0501,0.0446,1016.7166,746.8484,1.007
building_coeffs[1],-3.0941,1.2348,-5.4441,-0.6791,0.0575,0.0422,465.7823,504.8417,1.0026
building_coeffs[2],-0.5575,2.6611,-5.5813,4.6211,0.1516,0.1659,347.8464,394.0631,1.0017
interaction_coeffs[0],-0.0232,0.3693,-0.7399,0.7393,0.0345,0.0526,234.2923,66.5174,1.0034
intercept,-23.4929,1.5942,-26.2391,-20.1885,0.0481,0.0539,1102.2576,436.6819,0.9998
sigma,6.5919,0.0516,6.5035,6.6924,0.0013,0.0016,1621.3354,719.9207,1.0022
tau_energy,2.4806,2.1131,0.2012,6.0796,0.1706,0.1696,107.6914,318.8489,1.005
lambda_energy[0],38.6105,57.6873,1.6814,107.1167,4.0885,13.1967,163.7226,550.7648,1.004
lambda_energy[1],5.7479,13.181,0.0122,20.1997,1.8377,2.2641,37.9007,96.9498,1.0567
lambda_energy[2],0.8679,1.6295,0.0029,2.6076,0.0694,0.3249,408.6426,493.9584,1.0027
lambda_energy[3],0.7899,0.9788,0.0258,2.2729,0.0356,0.0838,717.3396,842.3878,1.0013
lambda_energy[4],1.0883,2.4278,0.0291,2.6444,0.1202,0.7477,469.2416,588.8631,1.0024
lambda_energy[5],5.0727,9.0944,0.1778,13.8478,0.4273,1.3841,214.9134,433.4076,1.0041
lambda_energy[6],1.1304,1.8769,0.0013,3.4284,0.0736,0.2861,398.9455,491.5655,1.0028
lambda_energy[7],2.3104,4.9444,0.005,7.0909,0.3414,0.9894,156.9356,320.5473,1.0092
alpha_energy,0.5045,0.2361,0.1223,0.9051,0.0065,0.0054,1247.7414,573.5553,1.0006
beta_energy,0.7798,0.6569,0.0009,2.0057,0.0172,0.0249,966.1679,706.197,1.0016
sigma_building,3.9334,0.5305,2.8489,4.8348,0.0143,0.0164,1402.2196,822.4671,1.002
sigma_interaction,0.5527,0.463,0.002,1.4115,0.022,0.0161,437.8987,413.8439,0.9999
