,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
energy_coeffs[0],0.006,0.0096,-0.0036,0.016,0.0066,0.0001,2.6417,11.3945,2.2018
energy_coeffs[1],-0.2652,0.4595,-0.7242,0.1937,0.3184,0.0,2.6121,26.5594,2.2517
energy_coeffs[2],0.2269,0.4527,-0.2253,0.679,0.3136,0.0,2.6136,23.7805,2.3776
energy_coeffs[3],0.9999,0.0001,0.9998,1.0,0.0001,0.0,2.4071,13.6815,2.8379
energy_coeffs[4],1.0,0.0001,0.9999,1.0,0.0,0.0,2.6118,25.2194,2.2674
energy_coeffs[5],0.0132,0.006,0.0071,0.0193,0.0042,0.0001,2.4995,14.1932,2.5688
energy_coeffs[6],-0.1608,0.1735,-0.3341,0.0125,0.1202,0.0,2.5668,14.1932,2.3509
energy_coeffs[7],-0.3008,0.4604,-0.7606,0.159,0.319,0.0,2.3976,8.1031,2.8545
building_coeffs[0],-0.0046,0.0047,-0.0097,0.0002,0.0032,0.0001,2.4681,13.0376,2.5518
building_coeffs[1],-0.0109,0.0046,-0.0156,-0.0061,0.0032,0.0,2.6695,8.7219,2.2461
building_coeffs[2],0.3305,0.3562,-0.0253,0.6862,0.2468,0.0,2.4266,20.5022,2.8929
interaction_coeffs[0],-0.1129,0.2269,-0.3395,0.1137,0.1572,0.0,2.3651,16.0433,2.9991
intercept,-0.0662,0.0671,-0.1359,0.001,0.0465,0.001,2.3426,11.0295,3.0397
sigma,0.0043,0.0024,0.0019,0.0068,0.0017,0.0,2.339,13.3792,3.0785
nu,2.1696,0.0045,2.165,2.1741,0.0031,0.0,2.6346,11.3764,2.2373
tau_energy,0.879,0.1903,0.6889,1.0692,0.1319,0.0,2.4756,14.3936,2.571
lambda_energy[0],1.0117,0.6093,0.4031,1.6203,0.4222,0.0,2.7718,14.1666,2.0707
lambda_energy[1],0.8568,0.0455,0.8114,0.9023,0.0315,0.0,2.7287,13.6797,2.1167
lambda_energy[2],0.9166,0.4702,0.4469,1.3862,0.3258,0.0,2.5932,34.6878,2.3614
lambda_energy[3],0.7894,0.0307,0.7588,0.8201,0.0213,0.0,2.4525,10.4823,2.6222
lambda_energy[4],2.0933,0.0977,1.9958,2.1909,0.0677,0.0,2.6435,12.1611,2.2798
lambda_energy[5],0.488,0.0218,0.4662,0.5098,0.0151,0.0,2.9156,15.4456,1.8866
lambda_energy[6],0.8126,0.1435,0.6693,0.9559,0.0994,0.0,2.3597,8.3198,2.9333
lambda_energy[7],0.7186,0.2752,0.4437,0.9935,0.1907,0.0,2.7692,31.0932,2.0421
alpha_energy,0.4649,0.1494,0.3157,0.6141,0.1035,0.0,2.3933,13.8103,3.0142
beta_energy,0.841,0.3937,0.4478,1.2343,0.2728,0.0,2.8917,30.9123,1.9308
sigma_building,1.5262,0.1881,1.3383,1.7142,0.1304,0.0,2.9305,18.3045,1.914
sigma_interaction,0.6024,0.0376,0.5648,0.6399,0.0261,0.0,2.6169,11.8481,2.308
all_coeffs[0],0.006,0.0096,-0.0036,0.016,0.0066,0.0001,2.6417,11.3945,2.2018
all_coeffs[1],-0.2652,0.4595,-0.7242,0.1937,0.3184,0.0,2.6121,26.5594,2.2517
all_coeffs[2],0.2269,0.4527,-0.2253,0.679,0.3136,0.0,2.6136,23.7805,2.3776
all_coeffs[3],0.9999,0.0001,0.9998,1.0,0.0001,0.0,2.4071,13.6815,2.8379
all_coeffs[4],1.0,0.0001,0.9999,1.0,0.0,0.0,2.6118,25.2194,2.2674
all_coeffs[5],0.0132,0.006,0.0071,0.0193,0.0042,0.0001,2.4995,14.1932,2.5688
all_coeffs[6],-0.1608,0.1735,-0.3341,0.0125,0.1202,0.0,2.5668,14.1932,2.3509
all_coeffs[7],-0.3008,0.4604,-0.7606,0.159,0.319,0.0,2.3976,8.1031,2.8545
all_coeffs[8],-0.0046,0.0047,-0.0097,0.0002,0.0032,0.0001,2.4681,13.0376,2.5518
all_coeffs[9],-0.0109,0.0046,-0.0156,-0.0061,0.0032,0.0,2.6695,8.7219,2.2461
all_coeffs[10],0.3305,0.3562,-0.0253,0.6862,0.2468,0.0,2.4266,20.5022,2.8929
all_coeffs[11],-0.1129,0.2269,-0.3395,0.1137,0.1572,0.0,2.3651,16.0433,2.9991
reordered_coeffs[0],0.006,0.0096,-0.0036,0.016,0.0066,0.0001,2.6417,11.3945,2.2018
