,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
adaptive_prior::energy_coeffs[0],44.4846,0.5922,43.3476,45.6136,0.0176,0.0153,1131.2528,1015.0439,1.0133
adaptive_prior::energy_coeffs[1],0.533,8.9912,-14.7463,9.3709,0.8048,2.4838,335.7169,202.2649,1.0204
adaptive_prior::energy_coeffs[2],-0.1019,0.7868,-1.6396,1.1902,0.0386,0.1167,677.8962,471.0464,1.0078
adaptive_prior::energy_coeffs[3],0.3733,0.009,0.3576,0.3905,0.0003,0.0002,1189.1662,1194.0524,1.0042
adaptive_prior::energy_coeffs[4],0.5714,0.0074,0.5566,0.5845,0.0002,0.0002,1143.339,1206.4781,1.0092
adaptive_prior::energy_coeffs[5],-5.0845,1.3816,-7.6144,-2.6406,0.0419,0.0327,1091.8321,1285.8636,1.0045
adaptive_prior::energy_coeffs[6],-0.434,1.1338,-2.7923,1.7444,0.0472,0.0434,573.4993,730.2384,1.0042
adaptive_prior::energy_coeffs[7],1.4809,17.7218,-12.7697,11.2859,1.419,7.5524,453.549,266.1166,1.0308
adaptive_prior::building_coeffs[0],-15.4907,1.6027,-18.7856,-12.7938,0.0417,0.0329,1488.5324,1575.8397,1.0023
adaptive_prior::building_coeffs[1],-3.143,1.278,-5.359,-0.822,0.0386,0.0302,1101.0497,1263.5118,1.0028
adaptive_prior::building_coeffs[2],-0.8515,2.3083,-5.2351,3.9622,0.0969,0.0878,574.3497,749.4953,1.0042
adaptive_prior::interaction_coeffs[0],-0.0577,0.3936,-0.6648,0.7501,0.0194,0.0584,679.1728,442.8066,1.0077
adaptive_prior::intercept,-23.3884,1.5672,-26.3603,-20.4266,0.0393,0.0394,1599.6556,1089.1464,1.0019
adaptive_prior::sigma,6.5924,0.0517,6.4926,6.6849,0.0011,0.0013,2042.9393,1400.2419,1.0025
adaptive_prior::tau_energy,2.0133,1.6645,0.2873,4.5987,0.0617,0.1002,483.8894,193.9335,1.0061
adaptive_prior::lambda_energy[0],43.6779,66.3649,1.0231,123.558,2.1733,7.6975,606.8939,960.6744,1.0023
adaptive_prior::lambda_energy[1],2.8394,9.608,0.0042,8.0549,0.5664,3.3892,336.0387,272.7187,1.014
adaptive_prior::lambda_energy[2],0.852,1.5415,0.0013,2.5221,0.0491,0.24,407.1618,186.0952,1.0036
adaptive_prior::lambda_energy[3],0.9129,1.7543,0.0304,2.4177,0.0524,0.3651,1367.9922,1183.7351,1.0055
adaptive_prior::lambda_energy[4],1.1542,2.0505,0.0615,2.9662,0.0694,0.4053,1178.2609,1129.5434,1.0016
adaptive_prior::lambda_energy[5],4.825,6.027,0.3374,14.0538,0.2308,0.8084,708.4071,248.9376,1.007
adaptive_prior::lambda_energy[6],1.2804,2.9443,0.0028,3.5436,0.099,0.4689,771.93,808.0603,1.0054
