Iter 0: min_w=-0.5220332551050653, max_w=0.4734184604900831, min_pred=-3.862578283189782, max_pred=2.634628432211681, min_pred_unscaled=-25.57162354143904, max_pred_unscaled=148.455280040344
Iter 1: min_w=-0.4635028379372701, max_w=0.5447288606145799, min_pred=-4.226769405036297, max_pred=2.9287779768403954, min_pred_unscaled=-35.32643911421225, max_pred_unscaled=156.33404035750956
Iter 2: min_w=-0.5147882962747734, max_w=0.5259380032471508, min_pred=-3.5736959981791276, max_pred=2.812946252192442, min_pred_unscaled=-17.833946142186406, max_pred_unscaled=153.23150148811553
Iter 3: min_w=-0.5025367142413261, max_w=0.5550011658988615, min_pred=-3.4378675140864297, max_pred=2.8984964533068296, min_pred_unscaled=-14.195796466445458, max_pred_unscaled=155.5229533770394
Iter 4: min_w=-0.4567096283587919, max_w=0.4911984994384507, min_pred=-3.7174339018237577, max_pred=2.981661210028717, min_pred_unscaled=-21.68394867316883, max_pred_unscaled=157.75051142365885
Iter 5: min_w=-0.45487470255103124, max_w=0.5612824887503045, min_pred=-3.768472137896159, max_pred=2.8265457692625535, min_pred_unscaled=-23.051001712577516, max_pred_unscaled=153.59576292377355
Iter 6: min_w=-0.5160055834935813, max_w=0.5201123404160075, min_pred=-3.59656350525628, max_pred=2.755778708343885, min_pred_unscaled=-18.44644957998497, max_pred_unscaled=151.70027567414272
Iter 7: min_w=-0.5784405489314013, max_w=0.5651489402508404, min_pred=-4.0909450432830265, max_pred=2.7411708996187114, min_pred_unscaled=-31.688399854839062, max_pred_unscaled=151.30900726728555
Iter 8: min_w=-0.48386808890928623, max_w=0.4944314726944159, min_pred=-3.5322142791478397, max_pred=2.6333341804421644, min_pred_unscaled=-16.7228632669637, max_pred_unscaled=148.4206136617339
Iter 9: min_w=-0.45747149750777266, max_w=0.5266862610302618, min_pred=-3.5954310344255958, max_pred=2.593563138970781, min_pred_unscaled=-18.416116484442014, max_pred_unscaled=147.35535108003384
Iter 10: min_w=-0.503143369601383, max_w=0.5200846036948779, min_pred=-3.846985148339951, max_pred=2.7166580330189403, min_pred_unscaled=-25.153963292363585, max_pred_unscaled=150.65243307176866
Iter 11: min_w=-0.44479727103045386, max_w=0.5104001859162118, min_pred=-3.605098230039043, max_pred=2.685834952474438, min_pred_unscaled=-18.675051160929925, max_pred_unscaled=149.82684055163284
Iter 12: min_w=-0.515117316171801, max_w=0.5464595297911968, min_pred=-3.8642338015444997, max_pred=2.524044612791287, min_pred_unscaled=-25.615966402258195, max_pred_unscaled=145.49330568383175
Iter 13: min_w=-0.31594919778997943, max_w=0.5510274105773093, min_pred=-3.7578125373725118, max_pred=2.95553699788022, min_pred_unscaled=-22.765485589448517, max_pred_unscaled=157.05077753063995
Iter 14: min_w=-0.2342011611521093, max_w=0.567024583475391, min_pred=-3.9866642421754515, max_pred=3.31564122873444, min_pred_unscaled=-28.89525108880696, max_pred_unscaled=166.6961262177468
Iter 15: min_w=-0.3007630871462035, max_w=0.5717477800660044, min_pred=-3.7042379165099613, max_pred=2.7869760974270137, min_pred_unscaled=-21.330495787265264, max_pred_unscaled=152.5358940036478
Iter 16: min_w=-0.3830327723289587, max_w=0.5690163552701417, min_pred=-3.9044396055755333, max_pred=3.0184785085786987, min_pred_unscaled=-26.692874047038956, max_pred_unscaled=158.7366583550334
Iter 17: min_w=-0.3920818035868207, max_w=0.5552620345524175, min_pred=-3.6651474016166947, max_pred=2.8684555135472136, min_pred_unscaled=-20.283461028440854, max_pred_unscaled=154.71831040413537
Iter 18: min_w=-0.43718989991670754, max_w=0.5812830993120669, min_pred=-3.9711955702471435, max_pred=2.8885755709995875, min_pred_unscaled=-28.480924564175282, max_pred_unscaled=155.2572237328469
Iter 19: min_w=-0.3838524115054131, max_w=0.5330134940755866, min_pred=-3.5873688482038877, max_pred=2.7052919690599313, min_pred_unscaled=-18.20017179225026, max_pred_unscaled=150.34799441014968
Iter 20: min_w=-0.4031496103097644, max_w=0.4819781787986571, min_pred=-3.5432998798085653, max_pred=2.9143949927359976, min_pred_unscaled=-17.01978975273444, max_pred_unscaled=155.94879385118847
Iter 21: min_w=-0.3981053270824626, max_w=0.5801826100774269, min_pred=-3.852114948309212, max_pred=3.236029030792116, min_pred_unscaled=-25.291364370049507, max_pred_unscaled=164.5637230324825
Iter 22: min_w=-0.4134631880189473, max_w=0.5816112247908649, min_pred=-3.8525552951674236, max_pred=2.67980067131479, min_pred_unscaled=-25.303159007898245, max_pred_unscaled=149.6652130536088
Iter 23: min_w=-0.2668714504938948, max_w=0.6043284897318988, min_pred=-3.91967233431706, max_pred=3.1463079891916133, min_pred_unscaled=-27.10088086167596, max_pred_unscaled=162.1605556807565
Iter 24: min_w=-0.4406618020373003, max_w=0.5261563240504415, min_pred=-3.6308388136942686, max_pred=2.6104946558869804, min_pred_unscaled=-19.364509610710826, max_pred_unscaled=147.80885973243426
Iter 25: min_w=-0.3993306360778001, max_w=0.5539426397728634, min_pred=-3.7292184459775717, max_pred=2.725149644324061, min_pred_unscaled=-21.9995962766766, max_pred_unscaled=150.87987986337947
Iter 26: min_w=-0.21601242680721844, max_w=0.5194894358057293, min_pred=-3.330641448238878, max_pred=2.640024537912495, min_pred_unscaled=-11.323759137161758, max_pred_unscaled=148.5998140851492
Iter 27: min_w=-0.2238439402218639, max_w=0.5315614111406801, min_pred=-3.7620395791440866, max_pred=2.638631321459227, min_pred_unscaled=-22.878706396949426, max_pred_unscaled=148.56249694933967
Iter 28: min_w=-0.3443695577977108, max_w=0.479234471876942, min_pred=-3.4905001905848065, max_pred=2.7631784467479252, min_pred_unscaled=-15.605556401668366, max_pred_unscaled=151.89847678089183
Iter 29: min_w=-0.34507631025757746, max_w=0.5465619602926963, min_pred=-3.8184283467784077, max_pred=2.858631851688326, min_pred_unscaled=-24.3890727833123, max_pred_unscaled=154.45518479800614
Iter 30: min_w=-0.358545123352807, max_w=0.5274396701122537, min_pred=-3.72031288743265, max_pred=2.996531765707416, min_pred_unscaled=-21.761061957833817, max_pred_unscaled=158.14881747619216
Iter 31: min_w=-0.47651225109042517, max_w=0.5622658121751921, min_pred=-3.838818746828354, max_pred=2.8980446185249464, min_pred_unscaled=-24.93522720611594, max_pred_unscaled=155.51085103653125
Iter 32: min_w=-0.5166531853857925, max_w=0.5107639901335917, min_pred=-3.7975528354731303, max_pred=2.9679388258326416, min_pred_unscaled=-23.82992471364534, max_pred_unscaled=157.38295900674993
Iter 33: min_w=-0.39879869942434454, max_w=0.4768927830708101, min_pred=-3.5451947449385353, max_pred=2.8085455152278698, min_pred_unscaled=-17.070543488257755, max_pred_unscaled=153.11362827567686
Iter 34: min_w=-0.47285023529217346, max_w=0.5078569606155909, min_pred=-3.6395767422008847, max_pred=2.908084578401198, min_pred_unscaled=-19.59855397905774, max_pred_unscaled=155.77977015914553
Iter 35: min_w=-0.3544521619638912, max_w=0.5205431197096196, min_pred=-3.9294254067909695, max_pred=2.9396495320927736, min_pred_unscaled=-27.36211573958431, max_pred_unscaled=156.62523366265788
Iter 36: min_w=-0.38420422186131964, max_w=0.5482726175982477, min_pred=-4.0522250847019725, max_pred=3.077926542055194, min_pred_unscaled=-30.651290402448893, max_pred_unscaled=160.32896681051426
Iter 37: min_w=-0.45252618101921416, max_w=0.5596818373849078, min_pred=-3.789047732235896, max_pred=2.5753033706781916, min_pred_unscaled=-23.602116542249064, max_pred_unscaled=146.86626537362594
Iter 38: min_w=-0.16897510902870427, max_w=0.5817319229898834, min_pred=-3.742016126076482, max_pred=3.1009883095909303, min_pred_unscaled=-22.342380605111813, max_pred_unscaled=160.94667349142583
Iter 39: min_w=-0.2586484481242952, max_w=0.5587532632934116, min_pred=-4.049501745714854, max_pred=2.9282211842381516, min_pred_unscaled=-30.578346093903434, max_pred_unscaled=156.3191267343558
Iter 40: min_w=-0.4252613400561992, max_w=0.5045832606681402, min_pred=-3.476621447627924, max_pred=2.4789079037035577, min_pred_unscaled=-15.233815934081207, max_pred_unscaled=144.28432433777283
Iter 41: min_w=-0.35679861966103993, max_w=0.5405564983100084, min_pred=-3.8961797750367353, max_pred=2.8429824551392127, min_pred_unscaled=-26.47163547548945, max_pred_unscaled=154.03601758605492
Iter 42: min_w=-0.4760899308917502, max_w=0.5732818146394877, min_pred=-3.7308537931578227, max_pred=2.690250084364086, min_pred_unscaled=-22.043398855003943, max_pred_unscaled=149.94509933041533
Iter 43: min_w=-0.5103266537913498, max_w=0.566881374268379, min_pred=-3.9276053025626227, max_pred=2.9851638539245564, min_pred_unscaled=-27.313364465855486, max_pred_unscaled=157.84432932083266
Iter 44: min_w=-0.44890685755796, max_w=0.5328648134991903, min_pred=-3.6049651901333766, max_pred=2.7594354509680756, min_pred_unscaled=-18.67148770299329, max_pred_unscaled=151.79822108729616
Iter 45: min_w=-0.4656005641230867, max_w=0.6051219581888276, min_pred=-4.056163457920684, max_pred=3.328216959929178, min_pred_unscaled=-30.75677925734051, max_pred_unscaled=167.03296567137068
Iter 46: min_w=-0.522885354064303, max_w=0.5016723003257288, min_pred=-3.721920461804768, max_pred=3.0186576732722936, min_pred_unscaled=-21.804120644822177, max_pred_unscaled=158.7414572598895
Iter 47: min_w=-0.45527332006082377, max_w=0.5694470766729389, min_pred=-3.842286129846412, max_pred=3.3788389936297185, min_pred_unscaled=-25.028100644902224, max_pred_unscaled=168.38887078010526
Iter 48: min_w=-0.4230156362068689, max_w=0.5269446049483293, min_pred=-4.005521053179463, max_pred=3.136938098202505, min_pred_unscaled=-29.400328512721487, max_pred_unscaled=161.90958427301783
Iter 49: min_w=-0.42302193321334214, max_w=0.6429563124959645, min_pred=-3.969181793509775, max_pred=3.0700611031478657, min_pred_unscaled=-28.426985795492044, max_pred_unscaled=160.1182919715701
