Iter 0: min_w=-0.4361122965341373, max_w=0.4846889154009107, min_pred=-3.445228016546796, max_pred=2.679915232436343, min_pred_unscaled=-14.39294664314329, max_pred_unscaled=149.6682815595265
Iter 1: min_w=-0.5242882484763804, max_w=0.5210332227346108, min_pred=-3.669883636426821, max_pred=2.7733520963347584, min_pred_unscaled=-20.410320510483913, max_pred_unscaled=152.17097676638957
Iter 2: min_w=-0.4927206273208231, max_w=0.5667471498305287, min_pred=-3.868276885207378, max_pred=2.996989561305302, min_pred_unscaled=-25.7242599138537, max_pred_unscaled=158.16107947644292
Iter 3: min_w=-0.4803070884093313, max_w=0.5218381109175673, min_pred=-3.7979398737856593, max_pred=2.9968079860071333, min_pred_unscaled=-23.840291488483714, max_pred_unscaled=158.15621600383207
Iter 4: min_w=-0.4565887284552168, max_w=0.5170266308724394, min_pred=-3.5161454735925766, max_pred=2.953875065520636, min_pred_unscaled=-16.292462235023095, max_pred_unscaled=157.00626287146875
Iter 5: min_w=-0.526628317160484, max_w=0.5642436679478344, min_pred=-3.7854181981801456, max_pred=2.9014552552848847, min_pred_unscaled=-23.504899907341994, max_pred_unscaled=155.60220453359136
Iter 6: min_w=-0.5180311025841188, max_w=0.5240307362258558, min_pred=-3.806025789476343, max_pred=2.8977380989677464, min_pred_unscaled=-24.056871771659473, max_pred_unscaled=155.50264094690914
Iter 7: min_w=-0.5172882750781552, max_w=0.5410472375438733, min_pred=-3.893494573210444, max_pred=2.9093956151284286, min_pred_unscaled=-26.399712666228368, max_pred_unscaled=155.81488612083737
Iter 8: min_w=-0.49155346312895964, max_w=0.5050987372911276, min_pred=-3.7955323372194645, max_pred=2.739474847679495, min_pred_unscaled=-23.775805909953235, max_pred_unscaled=151.26357871926103
Iter 9: min_w=-0.5333002288966044, max_w=0.5134707190836372, min_pred=-3.8431303172449764, max_pred=2.7778600768763106, min_pred_unscaled=-25.050712103248884, max_pred_unscaled=152.2917224851911
Iter 10: min_w=-0.46130275817759214, max_w=0.5164931677814154, min_pred=-3.33911273472673, max_pred=2.8871441464042507, min_pred_unscaled=-11.550661530976697, max_pred_unscaled=155.21888319652896
Iter 11: min_w=-0.5409710785144357, max_w=0.5531039716199997, min_pred=-3.9117962770121615, max_pred=2.800662749965443, min_pred_unscaled=-26.88992161022486, max_pred_unscaled=152.9024893523869
Iter 12: min_w=-0.4003168943483777, max_w=0.5089025291626879, min_pred=-3.8906972163656475, max_pred=3.1143225334453746, min_pred_unscaled=-26.324785798231503, max_pred_unscaled=161.30382908008127
Iter 13: min_w=-0.45555974451197556, max_w=0.4962140745148771, min_pred=-3.733123062358294, max_pred=2.7651548797623997, min_pred_unscaled=-22.10418095870635, max_pred_unscaled=151.9514153024307
Iter 14: min_w=-0.45387403088927797, max_w=0.5130811752028726, min_pred=-3.676871774082538, max_pred=2.8718130955156553, min_pred_unscaled=-20.597496940494196, max_pred_unscaled=154.80824283496057
Iter 15: min_w=-0.39807591611928317, max_w=0.5270827916679, min_pred=-3.957917755782101, max_pred=2.751636249829112, min_pred_unscaled=-28.125279894257773, max_pred_unscaled=151.58932041904316
Iter 16: min_w=-0.42515396287998997, max_w=0.4956773516995975, min_pred=-3.4595717773079366, max_pred=3.1122761919859103, min_pred_unscaled=-14.77714255691373, max_pred_unscaled=161.24901806921758
Iter 17: min_w=-0.4966956662571509, max_w=0.502286209269972, min_pred=-3.7526731644155946, max_pred=2.7514450420783945, min_pred_unscaled=-22.627828100434954, max_pred_unscaled=151.58419894234464
Iter 18: min_w=-0.48637435714732463, max_w=0.506144243281962, min_pred=-3.511492390709328, max_pred=3.0739043690235386, min_pred_unscaled=-16.16782996738081, max_pred_unscaled=160.2212333876712
Iter 19: min_w=-0.4754617216013404, max_w=0.5892577615796841, min_pred=-3.742683782375766, max_pred=3.0506100047848825, min_pred_unscaled=-22.360263699110618, max_pred_unscaled=159.59729663193428
Iter 20: min_w=-0.44860310271317355, max_w=0.5228292736257035, min_pred=-3.748400588854428, max_pred=3.122438611252207, min_pred_unscaled=-22.513387675834267, max_pred_unscaled=161.521217251925
Iter 21: min_w=-0.4611615522984729, max_w=0.5145004002216214, min_pred=-3.61295437533027, max_pred=2.836010182104756, min_pred_unscaled=-18.885477071480068, max_pred_unscaled=153.8492660880247
Iter 22: min_w=-0.44874231840745865, max_w=0.5487231278471568, min_pred=-4.0597330316698725, max_pred=3.1467855101105355, min_pred_unscaled=-30.85238986261885, max_pred_unscaled=162.17334602136833
Iter 23: min_w=-0.5164159289915338, max_w=0.5299183474955851, min_pred=-3.844447378963461, max_pred=2.855495657033556, min_pred_unscaled=-25.08598944360972, max_pred_unscaled=154.371182199858
Iter 24: min_w=-0.4244783040224911, max_w=0.5225557586295455, min_pred=-3.690759603009309, max_pred=2.869902206221626, min_pred_unscaled=-20.96948077469642, max_pred_unscaled=154.75705989412245
