Unnamed: 0,id,year,zip_code,city,state,climate,building_class,facility_type,floor_area,year_built,number_of_people,occupant_density,operating_hours,lighting,air_flow_control,heating,heating_fuel,cooling,wall_type,wall_insulation_r_value,roof_ceiling,window_glass_layers,window_glass_type,energy_star_label,energy_star_rating,leed_score,electric_eui,fuel_eui,site_eui,source_eui,ghg_emissions_int,data_source
0,1000057501,2014,10004,NEW YORK,NY,4A Mixed - Humid (Baltimore-MD),COMMERCIAL,Office - Uncategorized,1338000.0,1970,No Value,No Value,No Value,Fluorescent - T8,Unknown,Other Or Combination,District Steam,Other Or Combination,Frame Wall,No Value,Unknown,Single-pane,Reflective,Unknown,72,Unknown,46.505708672699996,29.57947065345,132.5,179.6150142753,No Value,New York City Benchmarking and Audit Ordinances
1,1000130005,2012,10004,NEW YORK,NY,4A Mixed - Humid (Baltimore-MD),COMMERCIAL,Office - Uncategorized,411500.0,1900,No Value,No Value,No Value,Other Or Combination,Unknown,Other Or Combination,District Steam,Packaged Direct Expansion,Frame Wall,No Value,Unknown,Double-pane,Unknown,Unknown,78,Unknown,46.505708672699996,29.57947065345,79.881147541,179.6150142753,No Value,New York City Benchmarking and Audit Ordinances
2,1000160125,2017,10280,NEW YORK,NY,4A Mixed - Humid (Baltimore-MD),COMMERCIAL,Office - Uncategorized,2577575.0,1987,No Value,No Value,No Value,Other Or Combination,Unknown,Other Or Combination,District Steam,Other Or Combination,Metal - Uncategorized,No Value,Unknown,Double-pane,Other Or Combination,Unknown,76,Unknown,46.505708672699996,29.57947065345,117.0,179.6150142753,No Value,New York City Benchmarking and Audit Ordinances
9,1000440001,2013,10005,NEW YORK,NY,4A Mixed - Humid (Baltimore-MD),COMMERCIAL,Office - Uncategorized,2239000.0,1961,No Value,No Value,No Value,Other Or Combination,Unknown,Other Or Combination,District Steam,Other Or Combination,Metal - Uncategorized,No Value,Unknown,Double-pane,Low-e,Unknown,43,Unknown,46.505708672699996,29.57947065345,54.4,179.6150142753,No Value,New York City Benchmarking and Audit Ordinances
10,1000460009,2016,10005,NEW YORK,NY,4A Mixed - Humid (Baltimore-MD),COMMERCIAL,Office - Uncategorized,934205.0,1912,No Value,No Value,No Value,Other Or Combination,Unknown,Other Or Combination,District Steam,Chiller - Uncategorized,Frame Wall,No Value,Unknown,Double-pane,Clear,Unknown,50,Unknown,46.505708672699996,29.57947065345,117.3784153005,179.6150142753,No Value,New York City Benchmarking and Audit Ordinances
13,1000660001,2013,10045,NEW YORK,NY,4A Mixed - Humid (Baltimore-MD),COMMERCIAL,Office - Uncategorized,870210.0,1924,No Value,No Value,No Value,Other Or Combination,Unknown,Other Or Combination,District Steam,Chiller - Uncategorized,Masonry,No Value,Unknown,Single-pane,Clear,Unknown,No Value,Unknown,46.505708672699996,29.57947065345,107.3,179.6150142753,No Value,New York City Benchmarking and Audit Ordinances
17,1001237501,2017,10279,NEW YORK,NY,4A Mixed - Humid (Baltimore-MD),COMMERCIAL,Office - Uncategorized,961744.0,1913,No Value,No Value,No Value,Other Or Combination,Unknown,Other Or Combination,Other Or Combination,Chiller - Uncategorized,Masonry,No Value,Unknown,Other Or Combination,Clear,Unknown,91,Unknown,46.505708672699996,29.57947065345,48.9,179.6150142753,No Value,New York City Benchmarking and Audit Ordinances
18,1001270018,2016,10007,NEW YORK,NY,4A Mixed - Humid (Baltimore-MD),COMMERCIAL,Office - Uncategorized,507000.0,1987,No Value,No Value,No Value,Other Or Combination,Unknown,Other Or Combination,District Steam,Other Or Combination,Frame Wall,No Value,Unknown,Double-pane,Low-e,Unknown,No Value,Unknown,46.505708672699996,29.57947065345,87.9590163934,179.6150142753,No Value,New York City Benchmarking and Audit Ordinances
19,1001550003,2014,10007,NEW YORK,NY,4A Mixed - Humid (Baltimore-MD),COMMERCIAL,Office - Uncategorized,103158.0,1935,No Value,No Value,No Value,Other Or Combination,Unknown,Boiler - Steam,Other Or Combination,Unknown,Masonry,No Value,Unknown,Double-pane,Clear,Unknown,98,Unknown,46.505708672699996,29.57947065345,39.1,179.6150142753,No Value,New York City Benchmarking and Audit Ordinances
37,1004770011,2016,10013,NEW YORK,NY,4A Mixed - Humid (Baltimore-MD),COMMERCIAL,Office - Uncategorized,428624.0,2012,No Value,No Value,No Value,Other Or Combination,Unknown,Other Or Combination,Other Or Combination,Packaged Direct Expansion,Frame Wall,No Value,Unknown,Double-pane,Unknown,Unknown,52,Unknown,46.505708672699996,29.57947065345,100.9234972678,179.6150142753,No Value,New York City Benchmarking and Audit Ordinances
40,1004830017,2012,10012,NEW YORK,NY,4A Mixed - Humid (Baltimore-MD),COMMERCIAL,Office - Uncategorized,181583.0,1902,No Value,No Value,No Value,Other Or Combination,Unknown,Boiler - Steam,Fuel Oil No.4,Split AC System,Frame Wall,No Value,Unknown,Double-pane,Unknown,Unknown,43,Unknown,46.505708672699996,29.57947065345,124.4590163934,179.6150142753,No Value,New York City Benchmarking and Audit Ordinances
