YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,ENERGYSTARScore,Electricity(kWh),NaturalGas(kBtu),GHGEmissionsIntensity
1979.0,4.0,1.0,20806.0,82.0,162534.0,584364.4,0.15
1963.0,4.0,1.0,20790.0,81.0,152506.0,368430.6,0.15
2013.0,5.0,3.0,259493.0,100.0,971249.0,2620689.0,0.8
1951.0,2.0,1.0,76127.0,92.0,223654.0,1576120.0,1.16
2018.0,4.0,1.0,67772.0,57.8,638791.0,0.0,0.19
1998.0,1.0,1.0,30533.0,13.4,771078.0,3272098.0,6.18
1991.0,6.0,1.0,41030.0,61.0,210774.0,848150.0,1.95
1991.0,4.0,1.0,42401.0,72.0,283866.0,704459.4,0.17
1926.0,8.0,1.0,102761.0,71.0,765975.0,423281.0,2.06
1988.0,5.0,2.0,109982.0,99.0,562823.0,1093700.4,0.14
1941.0,4.0,1.0,56521.0,64.2,1349993.0,2228942.8,0.47
1998.0,6.0,1.0,155602.0,81.0,1338290.0,2349046.0,1.27
2010.0,2.0,1.0,367884.0,90.0,1694592.0,4895399.0,0.8
2007.0,1.0,23.0,213696.0,34.0,1574986.0,1278950.0,0.46
2001.0,4.0,1.0,21388.0,86.0,126785.0,522969.6,0.15
1907.0,3.0,1.0,39201.0,31.0,295550.0,932540.0,1.41
1900.0,5.0,1.0,33300.0,46.0,398373.0,236763.0,0.61
1900.0,2.0,1.0,32027.0,28.0,538616.0,2170202.0,3.92
2016.0,6.0,2.0,395317.0,97.0,1905527.0,4218820.0,0.84
1949.0,1.0,1.0,22405.0,53.0,337119.0,2339540.0,5.83
1968.0,4.0,1.0,21880.0,61.8,256810.0,637714.4,0.23
2013.0,6.0,1.0,83296.0,88.0,433923.0,719940.0,0.56
1969.0,4.0,1.0,26280.0,88.0,150154.0,295843.0,0.71
1909.0,4.0,1.0,34560.0,91.0,204126.0,376698.0,0.69
1960.0,4.0,1.0,21200.0,84.0,170411.0,608020.0,0.16
1990.0,4.0,1.0,36792.0,78.0,230232.0,597280.0,0.98
1986.0,4.0,1.0,28328.0,65.0,207775.0,452357.0,0.15
1957.0,3.0,1.0,22331.0,98.0,111319.0,230240.0,0.65
1998.0,6.0,1.0,174000.0,78.2,2880901.0,524261.0,3.48
2014.0,6.0,1.0,26198.0,100.0,122499.0,998070.0,2.11
1959.0,2.0,1.0,21128.0,90.0,131598.0,343091.2,0.12
1917.0,4.0,1.0,56617.0,18.0,340715.0,750385.0,0.82
1952.0,1.0,1.0,25460.0,51.0,268369.0,457454.0,0.21
1976.0,3.0,1.0,20599.0,90.0,143078.0,772981.4,0.16
1991.0,5.0,1.0,138106.0,78.0,1907769.0,3305865.2,0.31
1960.0,1.0,1.0,25000.0,75.0,49826.0,90678.0,0.23
1910.0,4.0,1.0,36000.0,6.0,386745.0,731053.2,0.21
1970.0,3.0,1.0,57247.0,33.0,661142.0,765450.0,0.94
1930.0,17.0,1.0,204790.0,96.0,1300326.0,2116590.0,0.79
1964.0,4.0,1.0,21608.0,81.0,157576.0,403174.2,0.14
1953.0,1.0,1.0,104099.0,15.0,4833840.0,1112114.0,1.49
1911.0,6.0,1.0,23338.0,39.0,222544.0,1579813.0,3.78
1971.0,21.0,1.0,456304.0,68.0,5685031.0,5264253.6,0.32
2002.0,6.0,1.0,117950.0,84.6,945650.0,39248.0,0.19
1949.0,2.0,1.0,43645.0,57.0,114980.0,1584243.0,1.98
2020.0,6.0,2.0,120674.0,99.0,775355.0,5340.0,0.14
1928.0,5.0,1.0,82776.0,81.0,708190.0,621001.2,0.24
2008.0,13.0,1.0,224105.0,90.8,1491009.0,2840445.0,0.8
1967.0,3.0,1.0,25174.0,37.0,262793.0,548382.8,0.21
1960.0,4.0,1.0,20539.0,55.8,311343.0,559704.0,1.74
1999.0,6.0,1.0,57042.0,82.0,350337.0,1377507.6,0.16
1907.0,6.0,1.0,35200.0,75.0,317773.0,538426.2,0.18
1970.0,6.0,1.0,37843.0,95.0,162789.0,930833.0,1.39
1973.0,1.0,1.0,56572.0,70.0,373871.0,1196923.0,1.25
1944.0,1.0,1.0,25880.0,100.0,65411.0,353647.8,0.05
1929.0,2.0,1.0,20028.0,89.0,117373.0,547318.4,0.12
2000.0,6.0,1.0,34582.0,74.8,317455.0,657154.4,0.18
1972.0,3.0,1.0,20368.0,84.0,171477.0,498085.0,0.17
2000.0,11.0,1.0,68452.0,68.0,1183028.0,2965118.0,0.34
2014.0,7.0,1.0,94909.0,99.0,417857.0,782789.0,0.73
1997.0,3.0,2.0,36260.0,68.0,317112.0,697389.8,0.17
1920.0,3.0,1.0,23422.0,70.0,80612.0,1728510.0,3.98
1990.0,6.0,1.0,1842925.0,86.6,13494530.0,1157870.0,1.86
1990.0,4.0,1.0,35560.0,99.0,200963.0,761959.0,0.11
1986.0,1.0,1.0,33392.0,42.2,833640.0,2423500.8,0.49
1973.0,26.0,1.0,187080.0,86.0,1566534.0,1109806.0,0.48
1974.0,3.0,1.0,39927.0,22.0,1035251.0,746011.6,0.51
1984.0,3.0,1.0,35787.0,66.0,274940.0,520960.0,0.15
1925.0,3.0,1.0,44736.0,74.0,172643.0,1973599.0,2.66
2004.0,4.0,1.0,62504.0,90.0,288001.0,488756.0,0.62
2016.0,3.0,1.0,78972.0,100.0,206445.0,371197.8,0.05
2007.0,11.0,1.0,399935.0,23.0,1837687.0,7790033.0,1.46
1925.0,4.0,1.0,33018.0,45.0,511432.0,3465248.0,5.87
1979.0,1.0,1.0,31360.0,86.8,177563.0,1135120.0,2.03
1950.0,3.0,1.0,45760.0,43.0,232719.0,1185260.0,1.47
1985.0,4.0,1.0,114030.0,33.0,1052837.0,1525170.6,0.18
1928.0,5.0,1.0,32980.0,79.0,301414.0,537171.0,1.14
2000.0,4.0,1.0,30948.0,50.4,301864.0,950047.0,0.19
1950.0,11.0,1.0,232045.0,99.0,780020.0,871680.0,0.28
1930.0,1.0,1.0,25881.0,81.6,159855.0,370594.0,0.12
1976.0,4.0,1.0,31334.0,91.0,219541.0,1113028.2,0.14
1923.0,2.0,1.0,37816.0,46.0,163922.0,794762.0,1.2
1946.0,2.0,1.0,31360.0,41.0,203048.0,388721.2,0.13
1941.0,3.0,1.0,24548.0,85.0,250744.0,517414.2,0.2
2018.0,5.0,1.0,270000.0,98.2,226504.0,1526390.0,0.32
1990.0,1.0,1.0,29619.0,59.0,140090.0,662880.0,1.28
1984.0,4.0,1.0,57856.0,56.0,496990.0,1662515.8,0.17
2013.0,6.0,1.0,83296.0,96.0,388873.0,323284.0,0.3
2012.0,6.0,1.0,43762.0,69.0,197654.0,629506.6,0.12
1978.0,1.0,1.0,22176.0,11.0,108199.0,1501660.0,3.69
1984.0,3.0,1.0,43788.0,51.4,373708.0,412015.8,0.17
1925.0,2.0,1.0,25821.0,86.0,68188.0,0.0,0.05
1956.0,3.0,1.0,24039.0,88.0,242464.0,468019.2,0.2
1962.0,5.0,1.0,39895.0,34.0,188882.0,2352177.0,3.56
1925.0,8.0,1.0,97923.0,24.0,388578.0,53240.0,7.24
1977.0,1.0,1.0,24024.0,66.4,81854.0,868655.6,0.07
2008.0,6.0,1.0,75638.0,76.0,459716.0,1368604.8,0.18
2013.0,6.0,1.0,83296.0,93.0,376135.0,672206.0,0.52
2013.0,8.0,1.0,116049.0,36.0,1077690.0,2483588.0,1.66
1954.0,2.0,1.0,46560.0,79.6,118350.0,2159497.0,0.05
1996.0,4.0,1.0,30854.0,67.0,307602.0,572545.4,0.31
